Wed Jun 14 10:31:35 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0, testing: 0.111111, loss_tr: 1.87566, loss_t: 2.10224  
seq: 1, epoch: 0, step: 10, training: 0.625, testing: 0.722222, loss_tr: 1.32094, loss_t: 1.16826  
seq: 1, epoch: 0, step: 20, training: 0.5625, testing: 0.722222, loss_tr: 1.19322, loss_t: 0.927118  
seq: 1, epoch: 0, step: 30, training: 0.5625, testing: 0.722222, loss_tr: 1.211, loss_t: 0.693315  
seq: 1, epoch: 0, step: 40, training: 0.75, testing: 0.722222, loss_tr: 0.632843, loss_t: 0.560898  
seq: 1, epoch: 0, step: 50, training: 0.6875, testing: 0.722222, loss_tr: 0.484057, loss_t: 0.431016  
seq: 1, epoch: 0, step: 60, training: 0.6875, testing: 0.777778, loss_tr: 0.653123, loss_t: 0.370058  
seq: 1, epoch: 0, step: 70, training: 0.625, testing: 0.777778, loss_tr: 0.653542, loss_t: 0.417846  
seq: 1, epoch: 0, step: 80, training: 0.5625, testing: 0.722222, loss_tr: 0.624124, loss_t: 0.327933  
seq: 1, epoch: 0, step: 90, training: 0.9375, testing: 0.944444, loss_tr: 0.333472, loss_t: 0.302377  
seq: 1, epoch: 0, step: 100, training: 0.5625, testing: 0.777778, loss_tr: 0.604892, loss_t: 0.277668  
seq: 1, epoch: 0, step: 110, training: 0.75, testing: 0.944444, loss_tr: 0.767768, loss_t: 0.233463  
seq: 1, epoch: 0, step: 120, training: 0.625, testing: 0.777778, loss_tr: 0.414505, loss_t: 0.300466  
seq: 1, epoch: 0, step: 130, training: 0.75, testing: 0.833333, loss_tr: 0.519714, loss_t: 0.241114  
seq: 1, epoch: 0, step: 140, training: 0.8125, testing: 0.777778, loss_tr: 0.354767, loss_t: 0.237195  
seq: 1, epoch: 0, step: 150, training: 0.875, testing: 0.833333, loss_tr: 0.202033, loss_t: 0.195333  
seq: 1, epoch: 0, step: 160, training: 0.6875, testing: 0.777778, loss_tr: 0.21602, loss_t: 0.211426  
seq: 1, epoch: 0, step: 170, training: 0.875, testing: 0.944444, loss_tr: 0.175828, loss_t: 0.159735  
seq: 1, epoch: 0, step: 180, training: 1, testing: 0.833333, loss_tr: 0.0655522, loss_t: 0.242504  
seq: 1, epoch: 0, step: 190, training: 0.8125, testing: 0.833333, loss_tr: 0.374393, loss_t: 0.268437  
seq: 1, epoch: 1, step: 200, training: 0.9375, testing: 0.777778, loss_tr: 0.0933442, loss_t: 0.159179  
seq: 1, epoch: 1, step: 210, training: 0.8125, testing: 0.944444, loss_tr: 0.284618, loss_t: 0.120181  
seq: 1, epoch: 1, step: 220, training: 0.75, testing: 0.833333, loss_tr: 0.119633, loss_t: 0.101745  
seq: 1, epoch: 1, step: 230, training: 0.8125, testing: 0.833333, loss_tr: 0.164612, loss_t: 0.0814005  
seq: 1, epoch: 1, step: 240, training: 0.75, testing: 0.833333, loss_tr: 0.182605, loss_t: 0.127354  
seq: 1, epoch: 1, step: 250, training: 0.9375, testing: 0.833333, loss_tr: 0.133714, loss_t: 0.097877  
seq: 1, epoch: 1, step: 260, training: 1, testing: 0.888889, loss_tr: 0.202288, loss_t: 0.10503  
seq: 1, epoch: 1, step: 270, training: 0.8125, testing: 0.833333, loss_tr: 0.336667, loss_t: 0.0513473  
seq: 1, epoch: 1, step: 280, training: 0.8125, testing: 0.888889, loss_tr: 0.0679592, loss_t: 0.054398  
seq: 1, epoch: 1, step: 290, training: 0.9375, testing: 0.888889, loss_tr: 0.0661396, loss_t: 0.0362408  
seq: 1, epoch: 1, step: 300, training: 0.75, testing: 0.944444, loss_tr: 0.153966, loss_t: 0.0248147  
seq: 1, epoch: 1, step: 310, training: 0.9375, testing: 0.833333, loss_tr: 0.147753, loss_t: 0.0530891  
seq: 1, epoch: 1, step: 320, training: 0.5625, testing: 0.722222, loss_tr: 0.27783, loss_t: 0.0971889  
seq: 1, epoch: 1, step: 330, training: 0.875, testing: 0.833333, loss_tr: 0.0918156, loss_t: 0.0709547  
seq: 1, epoch: 1, step: 340, training: 0.75, testing: 0.833333, loss_tr: 0.0556959, loss_t: 0.0276381  
seq: 1, epoch: 1, step: 350, training: 1, testing: 0.888889, loss_tr: 0.0343324, loss_t: 0.0196165  
seq: 1, epoch: 1, step: 360, training: 0.8125, testing: 0.777778, loss_tr: 0.174316, loss_t: 0.0184086  
seq: 1, epoch: 1, step: 370, training: 0.9375, testing: 1, loss_tr: 0.0665172, loss_t: 0.0212687  
seq: 1, epoch: 1, step: 380, training: 0.875, testing: 0.888889, loss_tr: 0.0480007, loss_t: 0.0125106  
seq: 1, epoch: 2, step: 390, training: 0.875, testing: 0.833333, loss_tr: 0.00468814, loss_t: 0.0232749  
seq: 1, epoch: 2, step: 400, training: 0.875, testing: 1, loss_tr: 0.0379262, loss_t: 0.044708  
seq: 1, epoch: 2, step: 410, training: 0.8125, testing: 0.888889, loss_tr: 0.0482724, loss_t: 0.00775818  
seq: 1, epoch: 2, step: 420, training: 1, testing: 0.888889, loss_tr: 0.00749409, loss_t: 0.0108208  
seq: 1, epoch: 2, step: 430, training: 0.9375, testing: 0.888889, loss_tr: 0.00658204, loss_t: 0.0255975  
seq: 1, epoch: 2, step: 440, training: 0.75, testing: 0.888889, loss_tr: 0.0651689, loss_t: 0.00659972  
seq: 1, epoch: 2, step: 450, training: 0.8125, testing: 1, loss_tr: 0.0581701, loss_t: 0.00681412  
seq: 1, epoch: 2, step: 460, training: 0.9375, testing: 0.888889, loss_tr: 0.0449231, loss_t: 0.00382863  
