Wed Jun 14 23:51:58 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0.75, testing: 0.722222, loss_tr: 1.38869, loss_t: 1.50025  
seq: 1, epoch: 0, step: 10, training: 0.875, testing: 0.722222, loss_tr: 0.528942, loss_t: 1.07532  
seq: 1, epoch: 0, step: 20, training: 0.5625, testing: 0.722222, loss_tr: 1.22792, loss_t: 0.893538  
seq: 1, epoch: 0, step: 30, training: 0.625, testing: 0.777778, loss_tr: 1.10997, loss_t: 0.694876  
seq: 1, epoch: 0, step: 40, training: 0.5625, testing: 0.722222, loss_tr: 0.983958, loss_t: 0.61339  
seq: 1, epoch: 0, step: 50, training: 0.625, testing: 0.722222, loss_tr: 0.816105, loss_t: 0.495089  
seq: 1, epoch: 0, step: 60, training: 0.75, testing: 0.833333, loss_tr: 0.66665, loss_t: 0.524595  
seq: 1, epoch: 0, step: 70, training: 0.75, testing: 0.833333, loss_tr: 0.586799, loss_t: 0.459968  
seq: 1, epoch: 0, step: 80, training: 0.8125, testing: 0.777778, loss_tr: 0.345886, loss_t: 0.466342  
seq: 1, epoch: 0, step: 90, training: 0.5, testing: 0.777778, loss_tr: 0.62405, loss_t: 0.398535  
seq: 1, epoch: 0, step: 100, training: 0.5625, testing: 0.888889, loss_tr: 1.152, loss_t: 0.490336  
seq: 1, epoch: 0, step: 110, training: 0.75, testing: 0.777778, loss_tr: 0.86515, loss_t: 0.514116  
seq: 1, epoch: 0, step: 120, training: 0.4375, testing: 0.833333, loss_tr: 0.855321, loss_t: 0.437772  
seq: 1, epoch: 0, step: 130, training: 0.75, testing: 0.777778, loss_tr: 0.29537, loss_t: 0.445692  
seq: 1, epoch: 0, step: 140, training: 0.625, testing: 0.777778, loss_tr: 0.323919, loss_t: 0.36089  
seq: 1, epoch: 0, step: 150, training: 0.5625, testing: 0.833333, loss_tr: 0.593483, loss_t: 0.328055  
seq: 1, epoch: 0, step: 160, training: 0.875, testing: 0.888889, loss_tr: 0.335611, loss_t: 0.38669  
seq: 1, epoch: 0, step: 170, training: 0.875, testing: 0.888889, loss_tr: 0.299025, loss_t: 0.298639  
seq: 1, epoch: 0, step: 180, training: 0.75, testing: 0.833333, loss_tr: 0.212651, loss_t: 0.358819  
seq: 1, epoch: 0, step: 190, training: 0.5625, testing: 0.777778, loss_tr: 0.588896, loss_t: 0.47441  
seq: 1, epoch: 1, step: 200, training: 0.8125, testing: 0.888889, loss_tr: 0.156136, loss_t: 0.355304  
seq: 1, epoch: 1, step: 210, training: 0.8125, testing: 0.833333, loss_tr: 0.354613, loss_t: 0.366328  
seq: 1, epoch: 1, step: 220, training: 0.625, testing: 0.833333, loss_tr: 0.289362, loss_t: 0.36741  
seq: 1, epoch: 1, step: 230, training: 0.6875, testing: 0.833333, loss_tr: 0.348534, loss_t: 0.382303  
