Thu Jun 15 00:50:22 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0.75, testing: 0.944444, loss_tr: 0.0147247, loss_t: 0.173262  
seq: 1, epoch: 0, step: 10, training: 0.875, testing: 0.944444, loss_tr: 0.0758846, loss_t: 0.201996  
seq: 1, epoch: 0, step: 20, training: 0.9375, testing: 0.888889, loss_tr: 0.0112, loss_t: 0.234748  
seq: 1, epoch: 0, step: 30, training: 0.875, testing: 0.888889, loss_tr: 0.0223256, loss_t: 0.175844  
seq: 1, epoch: 0, step: 40, training: 0.8125, testing: 0.944444, loss_tr: 0.191706, loss_t: 0.226331  
seq: 1, epoch: 0, step: 50, training: 0.875, testing: 0.944444, loss_tr: 0.121582, loss_t: 0.208927  
seq: 1, epoch: 0, step: 60, training: 0.875, testing: 0.944444, loss_tr: 0.0165711, loss_t: 0.227766  
seq: 1, epoch: 0, step: 70, training: 0.875, testing: 0.944444, loss_tr: 0.11191, loss_t: 0.233545  
seq: 1, epoch: 0, step: 80, training: 0.75, testing: 0.888889, loss_tr: 0.0352216, loss_t: 0.223499  
seq: 1, epoch: 0, step: 90, training: 1, testing: 1, loss_tr: 0.0599548, loss_t: 0.237004  
seq: 1, epoch: 0, step: 100, training: 0.8125, testing: 0.944444, loss_tr: 0.0597325, loss_t: 0.234779  
seq: 1, epoch: 0, step: 110, training: 0.875, testing: 0.944444, loss_tr: 0.0148252, loss_t: 0.227951  
seq: 1, epoch: 0, step: 120, training: 0.5625, testing: 0.944444, loss_tr: 0.0507479, loss_t: 0.204684  
seq: 1, epoch: 0, step: 130, training: 1, testing: 0.833333, loss_tr: 0.025867, loss_t: 0.321619  
seq: 1, epoch: 0, step: 140, training: 1, testing: 1, loss_tr: 0.010877, loss_t: 0.215612  
seq: 1, epoch: 0, step: 150, training: 0.9375, testing: 0.888889, loss_tr: 0.159851, loss_t: 0.273693  
seq: 1, epoch: 0, step: 160, training: 0.875, testing: 0.888889, loss_tr: 0.0245824, loss_t: 0.242585  
seq: 1, epoch: 0, step: 170, training: 0.875, testing: 0.888889, loss_tr: 0.0149108, loss_t: 0.248081  
seq: 1, epoch: 0, step: 180, training: 1, testing: 0.944444, loss_tr: 0.0189365, loss_t: 0.305705  
seq: 1, epoch: 0, step: 190, training: 0.8125, testing: 0.944444, loss_tr: 0.254536, loss_t: 0.231923  
seq: 1, epoch: 1, step: 200, training: 0.875, testing: 0.888889, loss_tr: 0.00311493, loss_t: 0.161744  
seq: 1, epoch: 1, step: 210, training: 0.875, testing: 0.944444, loss_tr: 0.0576454, loss_t: 0.208877  
seq: 1, epoch: 1, step: 220, training: 0.9375, testing: 0.944444, loss_tr: 0.590437, loss_t: 0.187695  
seq: 1, epoch: 1, step: 230, training: 0.8125, testing: 0.888889, loss_tr: 0.176309, loss_t: 0.25628  
seq: 1, epoch: 1, step: 240, training: 1, testing: 0.944444, loss_tr: 0.0276339, loss_t: 0.195029  
seq: 1, epoch: 1, step: 250, training: 1, testing: 0.888889, loss_tr: 0.0140487, loss_t: 0.233815  
seq: 1, epoch: 1, step: 260, training: 1, testing: 0.944444, loss_tr: 0.0232525, loss_t: 0.197334  
seq: 1, epoch: 1, step: 270, training: 1, testing: 1, loss_tr: 0.00268862, loss_t: 0.229653  
seq: 1, epoch: 1, step: 280, training: 0.9375, testing: 1, loss_tr: 0.0414534, loss_t: 0.219876  
seq: 1, epoch: 1, step: 290, training: 0.9375, testing: 1, loss_tr: 0.0473662, loss_t: 0.21386  
seq: 1, epoch: 1, step: 300, training: 0.8125, testing: 0.888889, loss_tr: 0.0277406, loss_t: 0.179357  
seq: 1, epoch: 1, step: 310, training: 0.9375, testing: 1, loss_tr: 0.00812917, loss_t: 0.217546  
seq: 1, epoch: 1, step: 320, training: 0.8125, testing: 1, loss_tr: 0.0882387, loss_t: 0.44995  
seq: 1, epoch: 1, step: 330, training: 0.9375, testing: 0.944444, loss_tr: 0.097155, loss_t: 0.250433  
seq: 1, epoch: 1, step: 340, training: 0.9375, testing: 1, loss_tr: 0.107843, loss_t: 0.326308  
seq: 1, epoch: 1, step: 350, training: 1, testing: 1, loss_tr: 0.0137457, loss_t: 0.138693  
seq: 1, epoch: 1, step: 360, training: 1, testing: 1, loss_tr: 0.014559, loss_t: 0.128181  
seq: 1, epoch: 1, step: 370, training: 0.875, testing: 1, loss_tr: 0.0135187, loss_t: 0.120326  
seq: 1, epoch: 1, step: 380, training: 1, testing: 1, loss_tr: 0.00891344, loss_t: 0.118472  
seq: 1, epoch: 2, step: 390, training: 0.9375, testing: 1, loss_tr: 0.000708578, loss_t: 0.227812  
seq: 1, epoch: 2, step: 400, training: 0.875, testing: 1, loss_tr: 0.00844833, loss_t: 0.187389  
seq: 1, epoch: 2, step: 410, training: 1, testing: 1, loss_tr: 0.0116427, loss_t: 0.165633  
seq: 1, epoch: 2, step: 420, training: 0.8125, testing: 0.944444, loss_tr: 0.011552, loss_t: 0.125544  
seq: 1, epoch: 2, step: 430, training: 1, testing: 0.944444, loss_tr: 0.0068045, loss_t: 0.0869493  
seq: 1, epoch: 2, step: 440, training: 0.9375, testing: 1, loss_tr: 0.0117944, loss_t: 0.142906  
seq: 1, epoch: 2, step: 450, training: 0.9375, testing: 1, loss_tr: 0.00616067, loss_t: 0.216217  
seq: 1, epoch: 2, step: 460, training: 0.9375, testing: 1, loss_tr: 0.0101852, loss_t: 0.189862  
seq: 1, epoch: 2, step: 470, training: 0.875, testing: 1, loss_tr: 0.445477, loss_t: 0.193486  
seq: 1, epoch: 2, step: 480, training: 0.9375, testing: 1, loss_tr: 0.0298723, loss_t: 0.223784  
seq: 1, epoch: 2, step: 490, training: 0.875, testing: 0.888889, loss_tr: 0.0138003, loss_t: 0.267712  
seq: 1, epoch: 2, step: 500, training: 1, testing: 0.944444, loss_tr: 0.0271909, loss_t: 0.178615  
seq: 1, epoch: 2, step: 510, training: 1, testing: 0.944444, loss_tr: 0.00741538, loss_t: 0.205382  
seq: 1, epoch: 2, step: 520, training: 1, testing: 1, loss_tr: 0.000871574, loss_t: 0.288873  
seq: 1, epoch: 2, step: 530, training: 0.9375, testing: 0.944444, loss_tr: 0.0236078, loss_t: 0.211239  
seq: 1, epoch: 2, step: 540, training: 1, testing: 1, loss_tr: 0.00607184, loss_t: 0.171934  
seq: 1, epoch: 2, step: 550, training: 1, testing: 0.944444, loss_tr: 0.00271261, loss_t: 0.191421  
seq: 1, epoch: 2, step: 560, training: 0.875, testing: 0.944444, loss_tr: 0.00871471, loss_t: 0.16909  
seq: 1, epoch: 2, step: 570, training: 0.8125, testing: 0.944444, loss_tr: 0.0319023, loss_t: 0.137338  
