**************************************
current sequence is 1
****************************************
step 0, training accuracy 0.133333 and testing accuracy 0.166667, best accuracy is 0.166667 
step 20, training accuracy 0.0666667 and testing accuracy 0.166667, best accuracy is 0.166667 
step 40, training accuracy 0.2 and testing accuracy 0.166667, best accuracy is 0.166667 
step 60, training accuracy 0.0666667 and testing accuracy 0.166667, best accuracy is 0.166667 
step 80, training accuracy 0.333333 and testing accuracy 0.0833333, best accuracy is 0.166667 
step 100, training accuracy 0.133333 and testing accuracy 0.0833333, best accuracy is 0.166667 
step 120, training accuracy 0.333333 and testing accuracy 0.166667, best accuracy is 0.166667 
step 140, training accuracy 0.133333 and testing accuracy 0.166667, best accuracy is 0.166667 
step 160, training accuracy 0.4 and testing accuracy 0.25, best accuracy is 0.25 
step 180, training accuracy 0.333333 and testing accuracy 0.25, best accuracy is 0.25 
step 200, training accuracy 0.4 and testing accuracy 0.25, best accuracy is 0.25 
step 220, training accuracy 0.4 and testing accuracy 0.25, best accuracy is 0.25 
step 240, training accuracy 0.2 and testing accuracy 0.25, best accuracy is 0.25 
step 260, training accuracy 0.333333 and testing accuracy 0.25, best accuracy is 0.25 
step 280, training accuracy 0.466667 and testing accuracy 0.25, best accuracy is 0.25 
step 300, training accuracy 0.2 and testing accuracy 0.333333, best accuracy is 0.333333 
step 320, training accuracy 0.466667 and testing accuracy 0.333333, best accuracy is 0.333333 
step 340, training accuracy 0.333333 and testing accuracy 0.25, best accuracy is 0.333333 
step 360, training accuracy 0.533333 and testing accuracy 0.416667, best accuracy is 0.416667 
step 380, training accuracy 0.6 and testing accuracy 0.5, best accuracy is 0.5 
step 400, training accuracy 0.6 and testing accuracy 0.416667, best accuracy is 0.5 
step 420, training accuracy 0.866667 and testing accuracy 0.25, best accuracy is 0.5 
step 440, training accuracy 0.6 and testing accuracy 0.25, best accuracy is 0.5 
step 460, training accuracy 0.533333 and testing accuracy 0.416667, best accuracy is 0.5 
step 480, training accuracy 0.866667 and testing accuracy 0.5, best accuracy is 0.5 
step 500, training accuracy 0.466667 and testing accuracy 0.5, best accuracy is 0.5 
step 520, training accuracy 0.533333 and testing accuracy 0.416667, best accuracy is 0.5 
step 540, training accuracy 0.733333 and testing accuracy 0.583333, best accuracy is 0.583333 
step 560, training accuracy 0.533333 and testing accuracy 0.666667, best accuracy is 0.666667 
step 580, training accuracy 0.533333 and testing accuracy 0.583333, best accuracy is 0.666667 
step 600, training accuracy 0.666667 and testing accuracy 0.5, best accuracy is 0.666667 
step 620, training accuracy 0.866667 and testing accuracy 0.666667, best accuracy is 0.666667 
step 640, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.666667 
step 660, training accuracy 0.666667 and testing accuracy 0.5, best accuracy is 0.666667 
step 680, training accuracy 0.666667 and testing accuracy 0.666667, best accuracy is 0.666667 
step 700, training accuracy 0.666667 and testing accuracy 0.583333, best accuracy is 0.666667 
step 720, training accuracy 0.666667 and testing accuracy 0.583333, best accuracy is 0.666667 
step 740, training accuracy 0.533333 and testing accuracy 0.583333, best accuracy is 0.666667 
step 760, training accuracy 0.8 and testing accuracy 0.75, best accuracy is 0.75 
step 780, training accuracy 0.666667 and testing accuracy 0.416667, best accuracy is 0.75 
step 800, training accuracy 0.6 and testing accuracy 0.583333, best accuracy is 0.75 
step 820, training accuracy 0.6 and testing accuracy 0.583333, best accuracy is 0.75 
step 840, training accuracy 0.8 and testing accuracy 0.5, best accuracy is 0.75 
step 860, training accuracy 0.866667 and testing accuracy 0.666667, best accuracy is 0.75 
step 880, training accuracy 0.733333 and testing accuracy 0.333333, best accuracy is 0.75 
step 900, training accuracy 0.733333 and testing accuracy 0.5, best accuracy is 0.75 
step 920, training accuracy 0.666667 and testing accuracy 0.75, best accuracy is 0.75 
step 940, training accuracy 0.6 and testing accuracy 0.583333, best accuracy is 0.75 
step 960, training accuracy 0.733333 and testing accuracy 0.583333, best accuracy is 0.75 
step 980, training accuracy 0.866667 and testing accuracy 0.583333, best accuracy is 0.75 
step 1000, training accuracy 0.933333 and testing accuracy 0.75, best accuracy is 0.75 
