Wed Apr  5 18:36:01 2017 Finetune the dual-nets model with two independent feature variables on UT-Interaction set1! 
****************************************
current sequence is 1
****************************************
step 0, training: 0.125, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 20, training: 0.1875, testing: 0.166667, anv: 0.0333333, best 0.0333333 
step 40, training: 0.3125, testing: 0.166667, anv: 0.05, best 0.05 
step 60, training: 0.1875, testing: 0.166667, anv: 0.0666667, best 0.0666667 
step 80, training: 0.375, testing: 0.333333, anv: 0.1, best 0.1 
step 100, training: 0.25, testing: 0.333333, anv: 0.133333, best 0.133333 
step 120, training: 0.375, testing: 0.333333, anv: 0.166667, best 0.166667 
step 140, training: 0.25, testing: 0.333333, anv: 0.2, best 0.2 
step 160, training: 0.4375, testing: 0.5, anv: 0.25, best 0.25 
step 180, training: 0.5, testing: 0.166667, anv: 0.266667, best 0.266667 
step 200, training: 0.5, testing: 0.166667, anv: 0.266667, best 0.266667 
step 220, training: 0.625, testing: 0.5, anv: 0.3, best 0.3 
step 240, training: 0.5625, testing: 0.333333, anv: 0.316667, best 0.316667 
step 260, training: 0.75, testing: 0.5, anv: 0.35, best 0.35 
step 280, training: 0.625, testing: 0.5, anv: 0.366667, best 0.366667 
step 300, training: 0.75, testing: 0.5, anv: 0.383333, best 0.383333 
step 320, training: 0.75, testing: 0.5, anv: 0.4, best 0.4 
step 340, training: 0.8125, testing: 0.5, anv: 0.416667, best 0.416667 
step 360, training: 0.625, testing: 0.333333, anv: 0.4, best 0.416667 
step 380, training: 0.8125, testing: 0.833333, anv: 0.466667, best 0.466667 
step 400, training: 0.8125, testing: 0.666667, anv: 0.516667, best 0.516667 
step 420, training: 0.875, testing: 0.5, anv: 0.516667, best 0.516667 
step 440, training: 0.5625, testing: 0.5, anv: 0.533333, best 0.533333 
step 460, training: 0.75, testing: 0.666667, anv: 0.55, best 0.55 
step 480, training: 0.625, testing: 0.333333, anv: 0.533333, best 0.55 
step 500, training: 0.8125, testing: 0.666667, anv: 0.55, best 0.55 
step 520, training: 0.75, testing: 0.5, anv: 0.55, best 0.55 
step 540, training: 0.75, testing: 0.5, anv: 0.55, best 0.55 
step 560, training: 1, testing: 0.666667, anv: 0.583333, best 0.583333 
step 580, training: 0.8125, testing: 0.666667, anv: 0.566667, best 0.583333 
step 600, training: 0.75, testing: 0.666667, anv: 0.566667, best 0.583333 
step 620, training: 0.875, testing: 0.5, anv: 0.566667, best 0.583333 
step 640, training: 0.8125, testing: 0.5, anv: 0.566667, best 0.583333 
step 660, training: 0.9375, testing: 0.5, anv: 0.55, best 0.583333 
step 680, training: 0.875, testing: 0.5, anv: 0.566667, best 0.583333 
step 700, training: 0.9375, testing: 0.666667, anv: 0.566667, best 0.583333 
step 720, training: 0.875, testing: 0.5, anv: 0.566667, best 0.583333 
step 740, training: 1, testing: 0.5, anv: 0.566667, best 0.583333 
step 760, training: 1, testing: 0.666667, anv: 0.566667, best 0.583333 
step 780, training: 0.875, testing: 0.5, anv: 0.55, best 0.583333 
step 800, training: 0.9375, testing: 0.666667, anv: 0.55, best 0.583333 
step 820, training: 1, testing: 0.5, anv: 0.55, best 0.583333 
step 840, training: 0.9375, testing: 0.666667, anv: 0.566667, best 0.583333 
