****************************************
current sequence is 1
****************************************
step 0, training: 0.133333, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 40, training: 0.266667, testing: 0.333333, anv: 0.05, best 0.05 
step 80, training: 0.533333, testing: 0.25, anv: 0.075, best 0.075 
step 120, training: 0.333333, testing: 0.333333, anv: 0.108333, best 0.108333 
step 160, training: 0.6, testing: 0.583333, anv: 0.166667, best 0.166667 
step 200, training: 0.4, testing: 0.416667, anv: 0.208333, best 0.208333 
step 240, training: 0.466667, testing: 0.333333, anv: 0.241667, best 0.241667 
step 280, training: 0.666667, testing: 0.583333, anv: 0.3, best 0.3 
step 320, training: 0.533333, testing: 0.75, anv: 0.375, best 0.375 
step 360, training: 0.666667, testing: 0.666667, anv: 0.441667, best 0.441667 
step 400, training: 0.666667, testing: 0.75, anv: 0.5, best 0.5 
step 440, training: 0.466667, testing: 0.666667, anv: 0.533333, best 0.533333 
step 480, training: 0.466667, testing: 0.666667, anv: 0.575, best 0.575 
step 520, training: 0.733333, testing: 0.75, anv: 0.616667, best 0.616667 
step 560, training: 0.8, testing: 0.666667, anv: 0.625, best 0.625 
step 600, training: 0.8, testing: 0.75, anv: 0.658333, best 0.658333 
step 640, training: 0.733333, testing: 0.75, anv: 0.7, best 0.7 
step 680, training: 0.666667, testing: 0.75, anv: 0.716667, best 0.716667 
step 720, training: 0.666667, testing: 0.75, anv: 0.716667, best 0.716667 
step 760, training: 0.733333, testing: 0.666667, anv: 0.716667, best 0.716667 
step 800, training: 0.8, testing: 0.75, anv: 0.716667, best 0.716667 
step 840, training: 0.666667, testing: 0.75, anv: 0.725, best 0.725 
step 880, training: 0.866667, testing: 0.75, anv: 0.733333, best 0.733333 
step 920, training: 0.466667, testing: 0.75, anv: 0.733333, best 0.733333 
step 960, training: 0.866667, testing: 0.75, anv: 0.741667, best 0.741667 
step 1000, training: 0.666667, testing: 0.666667, anv: 0.733333, best 0.741667 
step 1040, training: 0.933333, testing: 0.666667, anv: 0.725, best 0.741667 
step 1080, training: 0.866667, testing: 0.666667, anv: 0.716667, best 0.741667 
step 1120, training: 0.933333, testing: 0.666667, anv: 0.708333, best 0.741667 
step 1160, training: 0.8, testing: 0.75, anv: 0.716667, best 0.741667 
step 1200, training: 0.866667, testing: 0.75, anv: 0.716667, best 0.741667 
step 1240, training: 1, testing: 0.75, anv: 0.716667, best 0.741667 
step 1280, training: 1, testing: 0.75, anv: 0.716667, best 0.741667 
step 1320, training: 0.933333, testing: 0.75, anv: 0.716667, best 0.741667 
step 1360, training: 0.666667, testing: 0.75, anv: 0.716667, best 0.741667 
step 1400, training: 0.866667, testing: 0.666667, anv: 0.716667, best 0.741667 
step 1440, training: 0.866667, testing: 0.666667, anv: 0.716667, best 0.741667 
step 1480, training: 1, testing: 0.75, anv: 0.725, best 0.741667 
step 1520, training: 0.8, testing: 0.75, anv: 0.733333, best 0.741667 
step 1560, training: 1, testing: 0.666667, anv: 0.725, best 0.741667 
step 1600, training: 1, testing: 0.75, anv: 0.725, best 0.741667 
step 1640, training: 1, testing: 0.833333, anv: 0.733333, best 0.741667 
step 1680, training: 0.933333, testing: 0.75, anv: 0.733333, best 0.741667 
step 1720, training: 0.866667, testing: 0.833333, anv: 0.741667, best 0.741667 
step 1760, training: 0.866667, testing: 0.666667, anv: 0.733333, best 0.741667 
step 1800, training: 0.866667, testing: 0.75, anv: 0.741667, best 0.741667 
step 1840, training: 1, testing: 0.75, anv: 0.75, best 0.75 
step 1880, training: 0.933333, testing: 0.666667, anv: 0.741667, best 0.75 
step 1920, training: 1, testing: 0.75, anv: 0.741667, best 0.75 
step 1960, training: 0.933333, testing: 0.75, anv: 0.75, best 0.75 
step 2000, training: 0.933333, testing: 0.75, anv: 0.75, best 0.75 
step 2040, training: 1, testing: 0.666667, anv: 0.733333, best 0.75 
step 2080, training: 0.933333, testing: 0.75, anv: 0.733333, best 0.75 
step 2120, training: 0.933333, testing: 0.833333, anv: 0.733333, best 0.75 
step 2160, training: 0.933333, testing: 0.75, anv: 0.741667, best 0.75 
step 2200, training: 0.933333, testing: 0.75, anv: 0.741667, best 0.75 
step 2240, training: 1, testing: 0.75, anv: 0.741667, best 0.75 
step 2280, training: 1, testing: 0.75, anv: 0.75, best 0.75 
step 2320, training: 0.866667, testing: 0.833333, anv: 0.758333, best 0.758333 
step 2360, training: 0.933333, testing: 0.666667, anv: 0.75, best 0.758333 
step 2400, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 2440, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 2480, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 2520, training: 0.933333, testing: 0.75, anv: 0.75, best 0.758333 
step 2560, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 2600, training: 0.933333, testing: 0.75, anv: 0.75, best 0.758333 
step 2640, training: 0.933333, testing: 0.833333, anv: 0.758333, best 0.758333 
step 2680, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 2720, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 2760, training: 0.933333, testing: 0.75, anv: 0.758333, best 0.758333 
step 2800, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 2840, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 2880, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 2920, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 2960, training: 0.933333, testing: 0.75, anv: 0.758333, best 0.758333 
step 3000, training: 1, testing: 0.75, anv: 0.758333, best 0.758333 
step 3040, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3080, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3120, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3160, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3200, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3240, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3280, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3320, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3360, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3400, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3440, training: 0.933333, testing: 0.75, anv: 0.75, best 0.758333 
step 3480, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3520, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3560, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3600, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3640, training: 1, testing: 0.75, anv: 0.75, best 0.758333 
step 3680, training: 1, testing: 0.833333, anv: 0.758333, best 0.758333 
 
****************************************
current sequence is 2
****************************************
step 0, training: 0.133333, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 40, training: 0.0666667, testing: 0.166667, anv: 0.0333333, best 0.0333333 
step 80, training: 0.333333, testing: 0.416667, anv: 0.075, best 0.075 
step 120, training: 0.133333, testing: 0.25, anv: 0.1, best 0.1 
step 160, training: 0.4, testing: 0.416667, anv: 0.141667, best 0.141667 
step 200, training: 0.333333, testing: 0.333333, anv: 0.175, best 0.175 
step 240, training: 0.4, testing: 0.416667, anv: 0.216667, best 0.216667 
step 280, training: 0.466667, testing: 0.416667, anv: 0.258333, best 0.258333 
step 320, training: 0.333333, testing: 0.416667, anv: 0.3, best 0.3 
step 360, training: 0.4, testing: 0.5, anv: 0.35, best 0.35 
step 400, training: 0.6, testing: 0.416667, anv: 0.375, best 0.375 
step 440, training: 0.6, testing: 0.416667, anv: 0.4, best 0.4 
