****************************************
current sequence is 1
****************************************
epoch: 0, step 0, training: 0.133333, testing: 0.166667, loss: 409770, anv: 0.0166667, best 0.0166667 
epoch: 0, step 20, training: 0.333333, testing: 0.333333, loss: 16.7871, anv: 0.05, best 0.05 
epoch: 0, step 40, training: 0, testing: 0.166667, loss: 19.1371, anv: 0.0666667, best 0.0666667 
epoch: 1, step 60, training: 0.266667, testing: 0.166667, loss: 10.8697, anv: 0.0833333, best 0.0833333 
epoch: 1, step 80, training: 0.333333, testing: 0.25, loss: 6.35375, anv: 0.108333, best 0.108333 
epoch: 2, step 100, training: 0.2, testing: 0.166667, loss: 6.5672, anv: 0.125, best 0.125 
epoch: 2, step 120, training: 0.133333, testing: 0.25, loss: 6.74795, anv: 0.15, best 0.15 
epoch: 3, step 140, training: 0.266667, testing: 0.166667, loss: 7.43125, anv: 0.166667, best 0.166667 
epoch: 3, step 160, training: 0.133333, testing: 0.166667, loss: 4.77388, anv: 0.183333, best 0.183333 
epoch: 4, step 180, training: 0.2, testing: 0.166667, loss: 4.03643, anv: 0.2, best 0.2 
epoch: 4, step 200, training: 0.266667, testing: 0.166667, loss: 2.44499, anv: 0.2, best 0.2 
epoch: 5, step 220, training: 0.0666667, testing: 0.166667, loss: 3.58001, anv: 0.183333, best 0.2 
epoch: 5, step 240, training: 0.2, testing: 0.166667, loss: 3.31846, anv: 0.183333, best 0.2 
epoch: 6, step 260, training: 0.266667, testing: 0.166667, loss: 1.48153, anv: 0.183333, best 0.2 
epoch: 6, step 280, training: 0.0666667, testing: 0.166667, loss: 1.80372, anv: 0.175, best 0.2 
epoch: 6, step 300, training: 0.133333, testing: 0.166667, loss: 2.70894, anv: 0.175, best 0.2 
epoch: 7, step 320, training: 0.2, testing: 0.166667, loss: 2.35852, anv: 0.166667, best 0.2 
epoch: 7, step 340, training: 0.133333, testing: 0.166667, loss: 1.93867, anv: 0.166667, best 0.2 
epoch: 8, step 360, training: 0.266667, testing: 0.166667, loss: 1.87014, anv: 0.166667, best 0.2 
epoch: 8, step 380, training: 0.133333, testing: 0.166667, loss: 2.12088, anv: 0.166667, best 0.2 
epoch: 9, step 400, training: 0.266667, testing: 0.166667, loss: 2.06099, anv: 0.166667, best 0.2 
epoch: 9, step 420, training: 0.133333, testing: 0.166667, loss: 2.24543, anv: 0.166667, best 0.2 
epoch: 10, step 440, training: 0.0666667, testing: 0.166667, loss: 2.07898, anv: 0.166667, best 0.2 
