step 0, training accuracy 0.0666667 and testing accuracy 0.0367937 , best accuracy is 0.0367937 
step 100, training accuracy 0.233333 and testing accuracy 0.319317 , best accuracy is 0.319317 
step 200, training accuracy 0.6 and testing accuracy 0.325887 , best accuracy is 0.325887 
step 300, training accuracy 0.866667 and testing accuracy 0.366623 , best accuracy is 0.366623 
step 400, training accuracy 0.8 and testing accuracy 0.399474 , best accuracy is 0.399474 
step 500, training accuracy 0.833333 and testing accuracy 0.413929 , best accuracy is 0.413929 
step 600, training accuracy 0.933333 and testing accuracy 0.382392 , best accuracy is 0.413929 
step 700, training accuracy 0.866667 and testing accuracy 0.409987 , best accuracy is 0.413929 
step 800, training accuracy 0.9 and testing accuracy 0.379763 , best accuracy is 0.413929 
step 900, training accuracy 0.966667 and testing accuracy 0.400788 , best accuracy is 0.413929 
step 1000, training accuracy 0.933333 and testing accuracy 0.408673 , best accuracy is 0.413929 
step 1100, training accuracy 0.933333 and testing accuracy 0.406045 , best accuracy is 0.413929 
step 1200, training accuracy 0.966667 and testing accuracy 0.416557 , best accuracy is 0.416557 
step 1300, training accuracy 0.933333 and testing accuracy 0.411301 , best accuracy is 0.416557 
step 1400, training accuracy 0.966667 and testing accuracy 0.416557 , best accuracy is 0.416557 
step 1500, training accuracy 1 and testing accuracy 0.420499 , best accuracy is 0.420499 
step 1600, training accuracy 0.966667 and testing accuracy 0.421813 , best accuracy is 0.421813 
step 1700, training accuracy 1 and testing accuracy 0.421813 , best accuracy is 0.421813 
step 1800, training accuracy 1 and testing accuracy 0.421813 , best accuracy is 0.421813 
step 1900, training accuracy 1 and testing accuracy 0.423127 , best accuracy is 0.423127 
step 2000, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 2100, training accuracy 0.966667 and testing accuracy 0.423127 , best accuracy is 0.424442 
step 2200, training accuracy 1 and testing accuracy 0.421813 , best accuracy is 0.424442 
step 2300, training accuracy 0.966667 and testing accuracy 0.423127 , best accuracy is 0.424442 
step 2400, training accuracy 1 and testing accuracy 0.423127 , best accuracy is 0.424442 
step 2500, training accuracy 1 and testing accuracy 0.423127 , best accuracy is 0.424442 
step 2600, training accuracy 0.966667 and testing accuracy 0.423127 , best accuracy is 0.424442 
step 2700, training accuracy 1 and testing accuracy 0.423127 , best accuracy is 0.424442 
step 2800, training accuracy 0.966667 and testing accuracy 0.423127 , best accuracy is 0.424442 
step 2900, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3000, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3100, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3200, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3300, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3400, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3500, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3600, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3700, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3800, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 3900, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4000, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4100, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4200, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4300, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4400, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4500, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4600, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4700, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4800, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 4900, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5000, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5100, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5200, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5300, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5400, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5500, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5600, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5700, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5800, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 5900, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6000, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6100, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6200, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6300, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6400, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6500, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6600, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6700, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6800, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 6900, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7000, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7100, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7200, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7300, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7400, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7500, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7600, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7700, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7800, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 7900, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8000, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8100, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8200, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8300, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8400, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8500, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8600, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8700, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8800, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 8900, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9000, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9100, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9200, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9300, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9400, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9500, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9600, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9700, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9800, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 9900, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10000, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10100, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10200, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10300, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10400, training accuracy 0.966667 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10500, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10600, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10700, training accuracy 1 and testing accuracy 0.424442 , best accuracy is 0.424442 
step 10800, training accuracy 0.933333 and testing accuracy 0.424442 , best accuracy is 0.424442 
