step 0, epoch: 0, training: 0.0666667 and testing: 0.0420499 , best accuracy is 0.0420499 
step 100, epoch: 0, training: 0.5 and testing: 0.304862 , best accuracy is 0.304862 
step 200, epoch: 1, training: 0.6 and testing: 0.34954 , best accuracy is 0.34954 
step 300, epoch: 1, training: 0.8 and testing: 0.375821 , best accuracy is 0.375821 
step 400, epoch: 2, training: 0.8 and testing: 0.399474 , best accuracy is 0.399474 
step 500, epoch: 2, training: 0.7 and testing: 0.425756 , best accuracy is 0.425756 
step 600, epoch: 3, training: 0.966667 and testing: 0.417871 , best accuracy is 0.425756 
step 700, epoch: 3, training: 0.833333 and testing: 0.402102 , best accuracy is 0.425756 
step 800, epoch: 4, training: 0.866667 and testing: 0.458607 , best accuracy is 0.458607 
step 900, epoch: 4, training: 0.933333 and testing: 0.452037 , best accuracy is 0.458607 
step 1000, epoch: 5, training: 0.933333 and testing: 0.44021 , best accuracy is 0.458607 
step 1100, epoch: 5, training: 0.866667 and testing: 0.46912 , best accuracy is 0.46912 
step 1200, epoch: 6, training: 0.933333 and testing: 0.455979 , best accuracy is 0.46912 
step 1300, epoch: 6, training: 1 and testing: 0.466491 , best accuracy is 0.46912 
step 1400, epoch: 7, training: 0.966667 and testing: 0.465177 , best accuracy is 0.46912 
step 1500, epoch: 7, training: 0.966667 and testing: 0.474376 , best accuracy is 0.474376 
step 1600, epoch: 8, training: 0.933333 and testing: 0.48226 , best accuracy is 0.48226 
step 1700, epoch: 8, training: 0.833333 and testing: 0.47569 , best accuracy is 0.48226 
step 1800, epoch: 9, training: 0.866667 and testing: 0.46912 , best accuracy is 0.48226 
step 1900, epoch: 9, training: 1 and testing: 0.46912 , best accuracy is 0.48226 
step 2000, epoch: 10, training: 0.9 and testing: 0.457293 , best accuracy is 0.48226 
step 2100, epoch: 10, training: 0.966667 and testing: 0.492773 , best accuracy is 0.492773 
step 2200, epoch: 11, training: 0.933333 and testing: 0.48883 , best accuracy is 0.492773 
step 2300, epoch: 11, training: 0.933333 and testing: 0.479632 , best accuracy is 0.492773 
step 2400, epoch: 12, training: 1 and testing: 0.480946 , best accuracy is 0.492773 
step 2500, epoch: 12, training: 0.966667 and testing: 0.48226 , best accuracy is 0.492773 
step 2600, epoch: 13, training: 0.966667 and testing: 0.490145 , best accuracy is 0.492773 
step 2700, epoch: 13, training: 1 and testing: 0.483574 , best accuracy is 0.492773 
step 2800, epoch: 14, training: 0.933333 and testing: 0.473062 , best accuracy is 0.492773 
step 2900, epoch: 15, training: 1 and testing: 0.471748 , best accuracy is 0.492773 
step 3000, epoch: 15, training: 1 and testing: 0.477004 , best accuracy is 0.492773 
step 3100, epoch: 16, training: 1 and testing: 0.473062 , best accuracy is 0.492773 
step 3200, epoch: 16, training: 0.966667 and testing: 0.47569 , best accuracy is 0.492773 
step 3300, epoch: 17, training: 1 and testing: 0.471748 , best accuracy is 0.492773 
step 3400, epoch: 17, training: 1 and testing: 0.479632 , best accuracy is 0.492773 
step 3500, epoch: 18, training: 1 and testing: 0.478318 , best accuracy is 0.492773 
step 3600, epoch: 18, training: 1 and testing: 0.474376 , best accuracy is 0.492773 
step 3700, epoch: 19, training: 1 and testing: 0.479632 , best accuracy is 0.492773 
step 3800, epoch: 19, training: 1 and testing: 0.477004 , best accuracy is 0.492773 
step 3900, epoch: 20, training: 1 and testing: 0.47569 , best accuracy is 0.492773 
step 4000, epoch: 20, training: 1 and testing: 0.479632 , best accuracy is 0.492773 
step 4100, epoch: 21, training: 1 and testing: 0.478318 , best accuracy is 0.492773 
