Fri Mar 31 16:15:04 2017Train the 3D-ConvNet on UT-Interaction dataset set2 from scratch! 
****************************************
current sequence is 11
****************************************
step 0, training accuracy 0 and testing accuracy 0.166667, best accuracy is 0.166667 
step 20, training accuracy 0.133333 and testing accuracy 0.333333, best accuracy is 0.333333 
step 40, training accuracy 0.466667 and testing accuracy 0.166667, best accuracy is 0.333333 
step 60, training accuracy 0.0666667 and testing accuracy 0.333333, best accuracy is 0.333333 
step 80, training accuracy 0.266667 and testing accuracy 0.333333, best accuracy is 0.333333 
step 100, training accuracy 0.266667 and testing accuracy 0.166667, best accuracy is 0.333333 
step 120, training accuracy 0.266667 and testing accuracy 0.333333, best accuracy is 0.333333 
step 140, training accuracy 0.333333 and testing accuracy 0.5, best accuracy is 0.5 
step 160, training accuracy 0.533333 and testing accuracy 0.333333, best accuracy is 0.5 
step 180, training accuracy 0.333333 and testing accuracy 0.333333, best accuracy is 0.5 
step 200, training accuracy 0.533333 and testing accuracy 0.333333, best accuracy is 0.5 
step 220, training accuracy 0.533333 and testing accuracy 0.333333, best accuracy is 0.5 
step 240, training accuracy 0.4 and testing accuracy 0.166667, best accuracy is 0.5 
step 260, training accuracy 0.666667 and testing accuracy 0.333333, best accuracy is 0.5 
step 280, training accuracy 0.466667 and testing accuracy 0.333333, best accuracy is 0.5 
step 300, training accuracy 0.533333 and testing accuracy 0.5, best accuracy is 0.5 
step 320, training accuracy 0.533333 and testing accuracy 0.333333, best accuracy is 0.5 
step 340, training accuracy 0.466667 and testing accuracy 0.333333, best accuracy is 0.5 
step 360, training accuracy 0.266667 and testing accuracy 0.333333, best accuracy is 0.5 
step 380, training accuracy 0.866667 and testing accuracy 0.166667, best accuracy is 0.5 
step 400, training accuracy 0.8 and testing accuracy 0.333333, best accuracy is 0.5 
step 420, training accuracy 0.6 and testing accuracy 0.333333, best accuracy is 0.5 
step 440, training accuracy 0.666667 and testing accuracy 0.333333, best accuracy is 0.5 
step 460, training accuracy 0.8 and testing accuracy 0.333333, best accuracy is 0.5 
step 480, training accuracy 0.533333 and testing accuracy 0.333333, best accuracy is 0.5 
step 500, training accuracy 0.6 and testing accuracy 0.333333, best accuracy is 0.5 
step 520, training accuracy 0.666667 and testing accuracy 0.333333, best accuracy is 0.5 
step 540, training accuracy 0.866667 and testing accuracy 0.5, best accuracy is 0.5 
step 560, training accuracy 0.466667 and testing accuracy 0.333333, best accuracy is 0.5 
step 580, training accuracy 0.933333 and testing accuracy 0.333333, best accuracy is 0.5 
step 600, training accuracy 0.666667 and testing accuracy 0.333333, best accuracy is 0.5 
step 620, training accuracy 0.866667 and testing accuracy 0.333333, best accuracy is 0.5 
step 640, training accuracy 0.466667 and testing accuracy 0.333333, best accuracy is 0.5 
step 660, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.5 
step 680, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.5 
step 700, training accuracy 0.733333 and testing accuracy 0.5, best accuracy is 0.5 
step 720, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.5 
step 740, training accuracy 0.933333 and testing accuracy 0.666667, best accuracy is 0.666667 
step 760, training accuracy 0.733333 and testing accuracy 0.5, best accuracy is 0.666667 
step 780, training accuracy 0.8 and testing accuracy 0.5, best accuracy is 0.666667 
step 800, training accuracy 0.8 and testing accuracy 0.666667, best accuracy is 0.666667 
step 820, training accuracy 0.866667 and testing accuracy 0.333333, best accuracy is 0.666667 
step 840, training accuracy 1 and testing accuracy 0.5, best accuracy is 0.666667 
step 860, training accuracy 0.8 and testing accuracy 0.5, best accuracy is 0.666667 
step 880, training accuracy 0.866667 and testing accuracy 0.5, best accuracy is 0.666667 
step 900, training accuracy 0.933333 and testing accuracy 0.833333, best accuracy is 0.833333 
step 920, training accuracy 0.8 and testing accuracy 0.5, best accuracy is 0.833333 
step 940, training accuracy 1 and testing accuracy 0.5, best accuracy is 0.833333 
step 960, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.833333 
step 980, training accuracy 1 and testing accuracy 0.666667, best accuracy is 0.833333 
step 1000, training accuracy 1 and testing accuracy 0.5, best accuracy is 0.833333 
step 1020, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.833333 
step 1040, training accuracy 1 and testing accuracy 0.666667, best accuracy is 0.833333 
step 1060, training accuracy 1 and testing accuracy 0.5, best accuracy is 0.833333 
step 1080, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.833333 
step 1100, training accuracy 1 and testing accuracy 0.5, best accuracy is 0.833333 
step 1120, training accuracy 1 and testing accuracy 0.5, best accuracy is 0.833333 
step 1140, training accuracy 0.933333 and testing accuracy 0.5, best accuracy is 0.833333 
