Tue Apr  4 10:02:36 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
step 0, training: 0.2, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 20, training: 0.466667, testing: 0.333333, anv: 0.05, best 0.05 
step 40, training: 0.666667, testing: 0.333333, anv: 0.0833333, best 0.0833333 
step 60, training: 0.4, testing: 0.5, anv: 0.133333, best 0.133333 
step 80, training: 0.666667, testing: 0.666667, anv: 0.2, best 0.2 
step 100, training: 0.666667, testing: 0.666667, anv: 0.266667, best 0.266667 
step 120, training: 0.8, testing: 0.333333, anv: 0.3, best 0.3 
step 140, training: 0.533333, testing: 0.5, anv: 0.35, best 0.35 
step 160, training: 0.866667, testing: 0.833333, anv: 0.433333, best 0.433333 
step 180, training: 0.8, testing: 0.5, anv: 0.483333, best 0.483333 
step 200, training: 0.866667, testing: 0.833333, anv: 0.55, best 0.55 
step 220, training: 0.8, testing: 0.5, anv: 0.566667, best 0.566667 
step 240, training: 0.666667, testing: 0.5, anv: 0.583333, best 0.583333 
step 260, training: 0.8, testing: 0.666667, anv: 0.6, best 0.6 
step 280, training: 0.866667, testing: 0.5, anv: 0.583333, best 0.6 
step 300, training: 0.933333, testing: 0.833333, anv: 0.6, best 0.6 
step 320, training: 0.933333, testing: 0.666667, anv: 0.633333, best 0.633333 
step 340, training: 1, testing: 0.833333, anv: 0.666667, best 0.666667 
step 360, training: 0.933333, testing: 0.833333, anv: 0.666667, best 0.666667 
step 380, training: 1, testing: 0.833333, anv: 0.7, best 0.7 
step 400, training: 1, testing: 0.833333, anv: 0.7, best 0.7 
step 420, training: 0.933333, testing: 0.833333, anv: 0.733333, best 0.733333 
step 440, training: 1, testing: 0.833333, anv: 0.766667, best 0.766667 
step 460, training: 1, testing: 0.833333, anv: 0.783333, best 0.783333 
step 480, training: 1, testing: 0.833333, anv: 0.816667, best 0.816667 
step 500, training: 1, testing: 0.833333, anv: 0.816667, best 0.816667 
step 520, training: 1, testing: 0.833333, anv: 0.833333, best 0.833333 
step 540, training: 1, testing: 1, anv: 0.85, best 0.85 
step 560, training: 1, testing: 0.833333, anv: 0.85, best 0.85 
step 580, training: 0.866667, testing: 0.833333, anv: 0.85, best 0.85 
step 600, training: 1, testing: 0.833333, anv: 0.85, best 0.85 
step 620, training: 1, testing: 0.833333, anv: 0.85, best 0.85 
step 640, training: 1, testing: 0.833333, anv: 0.85, best 0.85 
