Wed Apr  5 11:06:37 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
step 0, training: 1, testing: 1, anv: 0.1, best 0.1 
step 20, training: 1, testing: 1, anv: 0.2, best 0.2 
step 40, training: 1, testing: 1, anv: 0.3, best 0.3 
step 60, training: 1, testing: 1, anv: 0.4, best 0.4 
step 80, training: 1, testing: 1, anv: 0.5, best 0.5 
step 100, training: 1, testing: 1, anv: 0.6, best 0.6 
step 120, training: 1, testing: 1, anv: 0.7, best 0.7 
step 140, training: 1, testing: 1, anv: 0.8, best 0.8 
step 160, training: 1, testing: 1, anv: 0.9, best 0.9 
step 180, training: 1, testing: 1, anv: 1, best 1 
step 200, training: 1, testing: 1, anv: 1, best 1 
step 220, training: 1, testing: 1, anv: 1, best 1 
step 240, training: 1, testing: 1, anv: 1, best 1 
step 260, training: 1, testing: 1, anv: 1, best 1 
step 280, training: 0.933333, testing: 1, anv: 1, best 1 
step 300, training: 1, testing: 1, anv: 1, best 1 
step 320, training: 1, testing: 1, anv: 1, best 1 
step 340, training: 1, testing: 1, anv: 1, best 1 
step 360, training: 1, testing: 1, anv: 1, best 1 
step 380, training: 1, testing: 1, anv: 1, best 1 
step 400, training: 1, testing: 1, anv: 1, best 1 
step 420, training: 1, testing: 1, anv: 1, best 1 
step 440, training: 1, testing: 1, anv: 1, best 1 
step 460, training: 1, testing: 1, anv: 1, best 1 
