Wed Apr  5 11:21:34 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
step 0, training: 0.2, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 20, training: 0.4, testing: 0.666667, anv: 0.0833333, best 0.0833333 
step 40, training: 0.866667, testing: 0.666667, anv: 0.15, best 0.15 
step 60, training: 0.6, testing: 0.666667, anv: 0.216667, best 0.216667 
step 80, training: 0.8, testing: 0.666667, anv: 0.283333, best 0.283333 
step 100, training: 0.6, testing: 0.666667, anv: 0.35, best 0.35 
step 120, training: 0.8, testing: 0.666667, anv: 0.416667, best 0.416667 
step 140, training: 0.8, testing: 0.666667, anv: 0.483333, best 0.483333 
step 160, training: 0.866667, testing: 0.833333, anv: 0.566667, best 0.566667 
step 180, training: 1, testing: 0.833333, anv: 0.65, best 0.65 
step 200, training: 1, testing: 1, anv: 0.733333, best 0.733333 
step 220, training: 0.866667, testing: 0.833333, anv: 0.75, best 0.75 
step 240, training: 1, testing: 0.833333, anv: 0.766667, best 0.766667 
step 260, training: 1, testing: 0.833333, anv: 0.783333, best 0.783333 
step 280, training: 0.933333, testing: 1, anv: 0.816667, best 0.816667 
step 300, training: 0.933333, testing: 0.833333, anv: 0.833333, best 0.833333 
step 320, training: 1, testing: 0.833333, anv: 0.85, best 0.85 
step 340, training: 1, testing: 1, anv: 0.883333, best 0.883333 
step 360, training: 0.866667, testing: 0.833333, anv: 0.883333, best 0.883333 
step 380, training: 0.933333, testing: 0.833333, anv: 0.883333, best 0.883333 
step 400, training: 1, testing: 1, anv: 0.883333, best 0.883333 
step 420, training: 0.933333, testing: 1, anv: 0.9, best 0.9 
step 440, training: 0.933333, testing: 0.833333, anv: 0.9, best 0.9 
step 460, training: 1, testing: 1, anv: 0.916667, best 0.916667 
step 480, training: 1, testing: 1, anv: 0.916667, best 0.916667 
step 500, training: 1, testing: 1, anv: 0.933333, best 0.933333 
step 520, training: 0.933333, testing: 0.833333, anv: 0.933333, best 0.933333 
step 540, training: 1, testing: 1, anv: 0.933333, best 0.933333 
step 560, training: 1, testing: 0.833333, anv: 0.933333, best 0.933333 
step 580, training: 1, testing: 1, anv: 0.95, best 0.95 
step 600, training: 1, testing: 1, anv: 0.95, best 0.95 
step 620, training: 1, testing: 1, anv: 0.95, best 0.95 
step 640, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 660, training: 1, testing: 0.833333, anv: 0.95, best 0.966667 
step 680, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 700, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 720, training: 1, testing: 0.833333, anv: 0.95, best 0.966667 
step 740, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 760, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 780, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 800, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 820, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 840, training: 0.933333, testing: 0.833333, anv: 0.95, best 0.966667 
step 860, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 880, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 900, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 920, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 940, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 960, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 980, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1000, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1020, training: 1, testing: 0.833333, anv: 0.966667, best 0.983333 
step 1040, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1060, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1080, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1100, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1120, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1140, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1160, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1180, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1200, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1220, training: 1, testing: 0.833333, anv: 0.983333, best 0.983333 
step 1240, training: 1, testing: 0.833333, anv: 0.966667, best 0.983333 
step 1260, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1280, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1300, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1320, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1340, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1360, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1380, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1400, training: 1, testing: 1, anv: 0.966667, best 0.983333 
step 1420, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 1440, training: 1, testing: 1, anv: 1, best 1 
 
****************************************
current sequence is 2
****************************************
step 0, training: 0.133333, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 20, training: 0.0666667, testing: 0.166667, anv: 0.0333333, best 0.0333333 
step 40, training: 0.466667, testing: 0.5, anv: 0.0833333, best 0.0833333 
step 60, training: 0.6, testing: 0.666667, anv: 0.15, best 0.15 
step 80, training: 0.666667, testing: 0.666667, anv: 0.216667, best 0.216667 
step 100, training: 0.733333, testing: 1, anv: 0.316667, best 0.316667 
step 120, training: 0.666667, testing: 0.666667, anv: 0.383333, best 0.383333 
step 140, training: 0.866667, testing: 1, anv: 0.483333, best 0.483333 
step 160, training: 0.8, testing: 0.833333, anv: 0.566667, best 0.566667 
step 180, training: 0.733333, testing: 0.833333, anv: 0.65, best 0.65 
step 200, training: 0.866667, testing: 0.833333, anv: 0.716667, best 0.716667 
step 220, training: 0.8, testing: 0.666667, anv: 0.766667, best 0.766667 
step 240, training: 0.733333, testing: 0.833333, anv: 0.8, best 0.8 
step 260, training: 0.8, testing: 0.833333, anv: 0.816667, best 0.816667 
step 280, training: 0.933333, testing: 1, anv: 0.85, best 0.85 
step 300, training: 0.933333, testing: 0.833333, anv: 0.833333, best 0.85 
step 320, training: 1, testing: 1, anv: 0.866667, best 0.866667 
step 340, training: 0.933333, testing: 0.833333, anv: 0.85, best 0.866667 
step 360, training: 0.866667, testing: 0.833333, anv: 0.85, best 0.866667 
step 380, training: 1, testing: 1, anv: 0.866667, best 0.866667 
step 400, training: 0.933333, testing: 1, anv: 0.883333, best 0.883333 
step 420, training: 0.866667, testing: 0.833333, anv: 0.9, best 0.9 
step 440, training: 0.866667, testing: 0.833333, anv: 0.9, best 0.9 
step 460, training: 1, testing: 1, anv: 0.916667, best 0.916667 
step 480, training: 1, testing: 0.833333, anv: 0.9, best 0.916667 
step 500, training: 1, testing: 0.833333, anv: 0.9, best 0.916667 
step 520, training: 0.933333, testing: 1, anv: 0.9, best 0.916667 
step 540, training: 1, testing: 0.833333, anv: 0.9, best 0.916667 
step 560, training: 1, testing: 0.833333, anv: 0.9, best 0.916667 
step 580, training: 0.933333, testing: 1, anv: 0.9, best 0.916667 
step 600, training: 1, testing: 1, anv: 0.9, best 0.916667 
step 620, training: 1, testing: 1, anv: 0.916667, best 0.916667 
step 640, training: 1, testing: 1, anv: 0.933333, best 0.933333 
step 660, training: 1, testing: 1, anv: 0.933333, best 0.933333 
step 680, training: 1, testing: 1, anv: 0.95, best 0.95 
