Fri Apr  7 09:41:45 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
step 0, training: 0.466667, testing: 0.774194, anv: 0.0774194, best 0.0774194 
step 20, training: 0.6, testing: 0.806452, anv: 0.158065, best 0.158065 
step 40, training: 0.8, testing: 0.83871, anv: 0.241935, best 0.241935 
step 60, training: 0.933333, testing: 0.83871, anv: 0.325806, best 0.325806 
step 80, training: 0.933333, testing: 0.870968, anv: 0.412903, best 0.412903 
step 100, training: 0.8, testing: 0.83871, anv: 0.496774, best 0.496774 
step 120, training: 0.933333, testing: 0.903226, anv: 0.587097, best 0.587097 
step 140, training: 0.933333, testing: 0.935484, anv: 0.680645, best 0.680645 
step 160, training: 0.933333, testing: 0.903226, anv: 0.770968, best 0.770968 
step 180, training: 0.933333, testing: 0.903226, anv: 0.86129, best 0.86129 
step 200, training: 0.933333, testing: 0.903226, anv: 0.874194, best 0.874194 
step 220, training: 0.933333, testing: 0.935484, anv: 0.887097, best 0.887097 
step 240, training: 1, testing: 0.83871, anv: 0.887097, best 0.887097 
step 260, training: 0.933333, testing: 0.870968, anv: 0.890323, best 0.890323 
step 280, training: 0.733333, testing: 0.903226, anv: 0.893548, best 0.893548 
step 300, training: 0.933333, testing: 0.870968, anv: 0.896774, best 0.896774 
step 320, training: 1, testing: 0.870968, anv: 0.893548, best 0.896774 
step 340, training: 1, testing: 0.935484, anv: 0.893548, best 0.896774 
step 360, training: 0.933333, testing: 0.870968, anv: 0.890323, best 0.896774 
step 380, training: 1, testing: 0.870968, anv: 0.887097, best 0.896774 
step 400, training: 0.933333, testing: 0.870968, anv: 0.883871, best 0.896774 
step 420, training: 0.933333, testing: 0.870968, anv: 0.877419, best 0.896774 
step 440, training: 1, testing: 0.903226, anv: 0.883871, best 0.896774 
step 460, training: 0.933333, testing: 0.870968, anv: 0.883871, best 0.896774 
step 480, training: 0.866667, testing: 0.903226, anv: 0.883871, best 0.896774 
step 500, training: 1, testing: 0.903226, anv: 0.887097, best 0.896774 
step 520, training: 1, testing: 0.870968, anv: 0.887097, best 0.896774 
step 540, training: 0.933333, testing: 0.903226, anv: 0.883871, best 0.896774 
step 560, training: 0.933333, testing: 0.935484, anv: 0.890323, best 0.896774 
step 580, training: 1, testing: 0.903226, anv: 0.893548, best 0.896774 
step 600, training: 0.933333, testing: 0.903226, anv: 0.896774, best 0.896774 
step 620, training: 1, testing: 0.935484, anv: 0.903226, best 0.903226 
step 640, training: 1, testing: 0.806452, anv: 0.893548, best 0.903226 
step 660, training: 0.866667, testing: 0.935484, anv: 0.9, best 0.903226 
step 680, training: 0.933333, testing: 0.935484, anv: 0.903226, best 0.903226 
step 700, training: 1, testing: 0.903226, anv: 0.903226, best 0.903226 
step 720, training: 1, testing: 0.903226, anv: 0.906452, best 0.906452 
step 740, training: 0.933333, testing: 0.903226, anv: 0.906452, best 0.906452 
step 760, training: 1, testing: 0.935484, anv: 0.906452, best 0.906452 
step 780, training: 1, testing: 0.967742, anv: 0.912903, best 0.912903 
step 800, training: 0.866667, testing: 0.870968, anv: 0.909677, best 0.912903 
step 820, training: 1, testing: 0.903226, anv: 0.906452, best 0.912903 
step 840, training: 1, testing: 0.870968, anv: 0.912903, best 0.912903 
step 860, training: 0.933333, testing: 0.870968, anv: 0.906452, best 0.912903 
step 880, training: 0.933333, testing: 0.935484, anv: 0.906452, best 0.912903 
step 900, training: 1, testing: 0.903226, anv: 0.906452, best 0.912903 
step 920, training: 1, testing: 0.967742, anv: 0.912903, best 0.912903 
step 940, training: 1, testing: 0.903226, anv: 0.912903, best 0.912903 
step 960, training: 0.933333, testing: 0.83871, anv: 0.903226, best 0.912903 
step 980, training: 1, testing: 0.903226, anv: 0.896774, best 0.912903 
step 1000, training: 0.933333, testing: 0.903226, anv: 0.9, best 0.912903 
step 1020, training: 1, testing: 0.967742, anv: 0.906452, best 0.912903 
step 1040, training: 0.933333, testing: 0.903226, anv: 0.909677, best 0.912903 
step 1060, training: 1, testing: 0.903226, anv: 0.912903, best 0.912903 
step 1080, training: 0.8, testing: 0.870968, anv: 0.906452, best 0.912903 
step 1100, training: 1, testing: 0.935484, anv: 0.909677, best 0.912903 
step 1120, training: 1, testing: 0.935484, anv: 0.906452, best 0.912903 
step 1140, training: 1, testing: 0.903226, anv: 0.906452, best 0.912903 
step 1160, training: 1, testing: 0.903226, anv: 0.912903, best 0.912903 
step 1180, training: 0.933333, testing: 0.870968, anv: 0.909677, best 0.912903 
step 1200, training: 0.933333, testing: 0.935484, anv: 0.912903, best 0.912903 
step 1220, training: 0.933333, testing: 0.903226, anv: 0.906452, best 0.912903 
step 1240, training: 0.866667, testing: 0.903226, anv: 0.906452, best 0.912903 
step 1260, training: 1, testing: 0.935484, anv: 0.909677, best 0.912903 
step 1280, training: 1, testing: 0.903226, anv: 0.912903, best 0.912903 
step 1300, training: 0.933333, testing: 0.903226, anv: 0.909677, best 0.912903 
step 1320, training: 1, testing: 0.935484, anv: 0.909677, best 0.912903 
step 1340, training: 0.933333, testing: 0.870968, anv: 0.906452, best 0.912903 
step 1360, training: 1, testing: 0.83871, anv: 0.9, best 0.912903 
step 1380, training: 1, testing: 0.903226, anv: 0.903226, best 0.912903 
step 1400, training: 1, testing: 0.903226, anv: 0.9, best 0.912903 
step 1420, training: 0.933333, testing: 0.83871, anv: 0.893548, best 0.912903 
step 1440, training: 0.933333, testing: 0.903226, anv: 0.893548, best 0.912903 
step 1460, training: 1, testing: 0.903226, anv: 0.890323, best 0.912903 
step 1480, training: 1, testing: 0.870968, anv: 0.887097, best 0.912903 
step 1500, training: 1, testing: 0.903226, anv: 0.887097, best 0.912903 
step 1520, training: 1, testing: 0.870968, anv: 0.880645, best 0.912903 
step 1540, training: 1, testing: 0.903226, anv: 0.883871, best 0.912903 
step 1560, training: 0.933333, testing: 0.903226, anv: 0.890323, best 0.912903 
step 1580, training: 0.933333, testing: 0.935484, anv: 0.893548, best 0.912903 
step 1600, training: 1, testing: 0.935484, anv: 0.896774, best 0.912903 
step 1620, training: 1, testing: 0.806452, anv: 0.893548, best 0.912903 
step 1640, training: 0.933333, testing: 0.903226, anv: 0.893548, best 0.912903 
step 1660, training: 0.933333, testing: 0.903226, anv: 0.893548, best 0.912903 
step 1680, training: 1, testing: 0.903226, anv: 0.896774, best 0.912903 
step 1700, training: 1, testing: 0.903226, anv: 0.896774, best 0.912903 
step 1720, training: 1, testing: 0.935484, anv: 0.903226, best 0.912903 
step 1740, training: 0.933333, testing: 0.903226, anv: 0.903226, best 0.912903 
step 1760, training: 1, testing: 0.935484, anv: 0.906452, best 0.912903 
step 1780, training: 1, testing: 0.903226, anv: 0.903226, best 0.912903 
step 1800, training: 0.733333, testing: 0.83871, anv: 0.893548, best 0.912903 
step 1820, training: 1, testing: 0.903226, anv: 0.903226, best 0.912903 
step 1840, training: 0.933333, testing: 0.903226, anv: 0.903226, best 0.912903 
step 1860, training: 1, testing: 0.903226, anv: 0.903226, best 0.912903 
step 1880, training: 0.933333, testing: 0.83871, anv: 0.896774, best 0.912903 
step 1900, training: 1, testing: 0.903226, anv: 0.896774, best 0.912903 
step 1920, training: 1, testing: 0.903226, anv: 0.893548, best 0.912903 
step 1940, training: 1, testing: 0.903226, anv: 0.893548, best 0.912903 
step 1960, training: 0.8, testing: 0.83871, anv: 0.883871, best 0.912903 
step 1980, training: 0.933333, testing: 0.870968, anv: 0.880645, best 0.912903 
step 2000, training: 1, testing: 0.870968, anv: 0.883871, best 0.912903 
step 2020, training: 1, testing: 0.870968, anv: 0.880645, best 0.912903 
step 2040, training: 1, testing: 0.903226, anv: 0.880645, best 0.912903 
step 2060, training: 1, testing: 0.935484, anv: 0.883871, best 0.912903 
step 2080, training: 1, testing: 0.935484, anv: 0.893548, best 0.912903 
step 2100, training: 0.933333, testing: 0.903226, anv: 0.893548, best 0.912903 
step 2120, training: 1, testing: 0.870968, anv: 0.890323, best 0.912903 
step 2140, training: 1, testing: 0.903226, anv: 0.890323, best 0.912903 
step 2160, training: 1, testing: 0.903226, anv: 0.896774, best 0.912903 
step 2180, training: 1, testing: 0.870968, anv: 0.896774, best 0.912903 
step 2200, training: 1, testing: 0.935484, anv: 0.903226, best 0.912903 
step 2220, training: 0.933333, testing: 0.935484, anv: 0.909677, best 0.912903 
step 2240, training: 1, testing: 0.935484, anv: 0.912903, best 0.912903 
step 2260, training: 1, testing: 0.935484, anv: 0.912903, best 0.912903 
step 2280, training: 1, testing: 0.935484, anv: 0.912903, best 0.912903 
step 2300, training: 1, testing: 0.903226, anv: 0.912903, best 0.912903 
step 2320, training: 1, testing: 0.935484, anv: 0.919355, best 0.919355 
step 2340, training: 1, testing: 0.903226, anv: 0.919355, best 0.919355 
step 2360, training: 0.933333, testing: 0.935484, anv: 0.922581, best 0.922581 
step 2380, training: 0.933333, testing: 0.935484, anv: 0.929032, best 0.929032 
step 2400, training: 1, testing: 0.935484, anv: 0.929032, best 0.929032 
step 2420, training: 1, testing: 0.903226, anv: 0.925806, best 0.929032 
