Sat Apr  8 22:24:09 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
step 0, training: 0.266667, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 20, training: 0.133333, testing: 0.166667, anv: 0.0333333, best 0.0333333 
step 40, training: 0.2, testing: 0.166667, anv: 0.05, best 0.05 
step 60, training: 0.2, testing: 0.166667, anv: 0.0666667, best 0.0666667 
step 80, training: 0.333333, testing: 0.166667, anv: 0.0833333, best 0.0833333 
step 100, training: 0.266667, testing: 0.166667, anv: 0.1, best 0.1 
step 120, training: 0.4, testing: 0.333333, anv: 0.133333, best 0.133333 
step 140, training: 0.466667, testing: 0.333333, anv: 0.166667, best 0.166667 
step 160, training: 0.4, testing: 0.166667, anv: 0.183333, best 0.183333 
step 180, training: 0.333333, testing: 0.5, anv: 0.233333, best 0.233333 
step 200, training: 0.4, testing: 0.666667, anv: 0.283333, best 0.283333 
step 220, training: 0.6, testing: 0.5, anv: 0.316667, best 0.316667 
step 240, training: 0.4, testing: 0.166667, anv: 0.316667, best 0.316667 
step 260, training: 0.733333, testing: 0.666667, anv: 0.366667, best 0.366667 
step 280, training: 0.266667, testing: 0.666667, anv: 0.416667, best 0.416667 
step 300, training: 0.4, testing: 0.333333, anv: 0.433333, best 0.433333 
step 320, training: 0.466667, testing: 0.5, anv: 0.45, best 0.45 
step 340, training: 0.6, testing: 0.5, anv: 0.466667, best 0.466667 
step 360, training: 0.333333, testing: 0.5, anv: 0.5, best 0.5 
step 380, training: 0.533333, testing: 0.5, anv: 0.5, best 0.5 
step 400, training: 0.733333, testing: 0.5, anv: 0.483333, best 0.5 
step 420, training: 0.733333, testing: 0.5, anv: 0.483333, best 0.5 
step 440, training: 0.6, testing: 0.5, anv: 0.516667, best 0.516667 
step 460, training: 0.533333, testing: 0.5, anv: 0.5, best 0.516667 
step 480, training: 0.733333, testing: 0.833333, anv: 0.516667, best 0.516667 
step 500, training: 0.733333, testing: 0.666667, anv: 0.55, best 0.55 
step 520, training: 0.4, testing: 0.5, anv: 0.55, best 0.55 
step 540, training: 0.733333, testing: 0.5, anv: 0.55, best 0.55 
step 560, training: 0.8, testing: 0.666667, anv: 0.566667, best 0.566667 
step 580, training: 0.733333, testing: 0.833333, anv: 0.6, best 0.6 
step 600, training: 0.733333, testing: 0.666667, anv: 0.616667, best 0.616667 
step 620, training: 0.8, testing: 0.833333, anv: 0.65, best 0.65 
step 640, training: 0.8, testing: 0.5, anv: 0.65, best 0.65 
step 660, training: 0.733333, testing: 0.666667, anv: 0.666667, best 0.666667 
step 680, training: 0.866667, testing: 0.666667, anv: 0.65, best 0.666667 
step 700, training: 0.8, testing: 0.666667, anv: 0.65, best 0.666667 
step 720, training: 0.866667, testing: 0.833333, anv: 0.683333, best 0.683333 
step 740, training: 0.866667, testing: 0.833333, anv: 0.716667, best 0.716667 
step 760, training: 0.8, testing: 0.666667, anv: 0.716667, best 0.716667 
step 780, training: 0.933333, testing: 0.833333, anv: 0.716667, best 0.716667 
step 800, training: 0.733333, testing: 0.833333, anv: 0.733333, best 0.733333 
step 820, training: 0.933333, testing: 0.833333, anv: 0.733333, best 0.733333 
step 840, training: 0.933333, testing: 0.666667, anv: 0.75, best 0.75 
step 860, training: 0.866667, testing: 1, anv: 0.783333, best 0.783333 
step 880, training: 0.666667, testing: 0.833333, anv: 0.8, best 0.8 
step 900, training: 0.933333, testing: 1, anv: 0.833333, best 0.833333 
step 920, training: 0.866667, testing: 0.833333, anv: 0.833333, best 0.833333 
step 940, training: 0.866667, testing: 1, anv: 0.85, best 0.85 
step 960, training: 0.8, testing: 1, anv: 0.883333, best 0.883333 
step 980, training: 0.933333, testing: 1, anv: 0.9, best 0.9 
step 1000, training: 1, testing: 1, anv: 0.916667, best 0.916667 
step 1020, training: 1, testing: 1, anv: 0.933333, best 0.933333 
step 1040, training: 0.866667, testing: 0.833333, anv: 0.95, best 0.95 
step 1060, training: 1, testing: 1, anv: 0.95, best 0.95 
step 1080, training: 0.933333, testing: 0.833333, anv: 0.95, best 0.95 
step 1100, training: 0.933333, testing: 1, anv: 0.95, best 0.95 
step 1120, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 1140, training: 0.933333, testing: 1, anv: 0.966667, best 0.966667 
step 1160, training: 0.933333, testing: 0.833333, anv: 0.95, best 0.966667 
step 1180, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 1200, training: 0.866667, testing: 0.666667, anv: 0.916667, best 0.966667 
step 1220, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 1240, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 1260, training: 0.933333, testing: 0.833333, anv: 0.916667, best 0.966667 
step 1280, training: 0.933333, testing: 0.666667, anv: 0.9, best 0.966667 
step 1300, training: 0.8, testing: 0.666667, anv: 0.866667, best 0.966667 
step 1320, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 1340, training: 1, testing: 1, anv: 0.85, best 0.966667 
step 1360, training: 0.933333, testing: 0.666667, anv: 0.833333, best 0.966667 
step 1380, training: 1, testing: 1, anv: 0.833333, best 0.966667 
step 1400, training: 1, testing: 1, anv: 0.866667, best 0.966667 
step 1420, training: 1, testing: 1, anv: 0.866667, best 0.966667 
step 1440, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 1460, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 1480, training: 1, testing: 1, anv: 0.883333, best 0.966667 
step 1500, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 1520, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 1540, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 1560, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 1580, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 1600, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 1620, training: 0.933333, testing: 0.833333, anv: 0.9, best 0.966667 
step 1640, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 1660, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 1680, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 1700, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 1720, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 1740, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 1760, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 1780, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 1800, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 1820, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 1840, training: 1, testing: 0.833333, anv: 0.95, best 0.966667 
step 1860, training: 1, testing: 0.833333, anv: 0.95, best 0.966667 
step 1880, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 1900, training: 1, testing: 0.833333, anv: 0.933333, best 0.966667 
step 1920, training: 1, testing: 0.833333, anv: 0.933333, best 0.966667 
step 1940, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 1960, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 1980, training: 1, testing: 0.833333, anv: 0.883333, best 0.966667 
step 2000, training: 1, testing: 0.833333, anv: 0.866667, best 0.966667 
step 2020, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2040, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2060, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2080, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2100, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2120, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2140, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2160, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2180, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2200, training: 1, testing: 1, anv: 0.85, best 0.966667 
step 2220, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2240, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2260, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2280, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2300, training: 1, testing: 1, anv: 0.866667, best 0.966667 
step 2320, training: 1, testing: 0.833333, anv: 0.866667, best 0.966667 
step 2340, training: 1, testing: 0.833333, anv: 0.866667, best 0.966667 
step 2360, training: 1, testing: 0.833333, anv: 0.866667, best 0.966667 
step 2380, training: 1, testing: 0.833333, anv: 0.866667, best 0.966667 
step 2400, training: 1, testing: 0.666667, anv: 0.833333, best 0.966667 
step 2420, training: 1, testing: 1, anv: 0.85, best 0.966667 
step 2440, training: 1, testing: 0.666667, anv: 0.833333, best 0.966667 
step 2460, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2480, training: 1, testing: 0.833333, anv: 0.833333, best 0.966667 
step 2500, training: 1, testing: 0.833333, anv: 0.816667, best 0.966667 
step 2520, training: 1, testing: 0.833333, anv: 0.816667, best 0.966667 
step 2540, training: 1, testing: 0.833333, anv: 0.816667, best 0.966667 
step 2560, training: 1, testing: 1, anv: 0.833333, best 0.966667 
step 2580, training: 1, testing: 1, anv: 0.85, best 0.966667 
step 2600, training: 1, testing: 0.833333, anv: 0.866667, best 0.966667 
step 2620, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2640, training: 1, testing: 0.666667, anv: 0.85, best 0.966667 
step 2660, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2680, training: 1, testing: 0.833333, anv: 0.85, best 0.966667 
step 2700, training: 1, testing: 1, anv: 0.866667, best 0.966667 
step 2720, training: 1, testing: 1, anv: 0.883333, best 0.966667 
step 2740, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 2760, training: 1, testing: 0.833333, anv: 0.883333, best 0.966667 
step 2780, training: 1, testing: 0.833333, anv: 0.866667, best 0.966667 
step 2800, training: 1, testing: 1, anv: 0.883333, best 0.966667 
step 2820, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 2840, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 2860, training: 1, testing: 0.833333, anv: 0.933333, best 0.966667 
step 2880, training: 1, testing: 0.833333, anv: 0.933333, best 0.966667 
step 2900, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 2920, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 2940, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 2960, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 2980, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 3000, training: 1, testing: 0.833333, anv: 0.933333, best 0.966667 
step 3020, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 3040, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3060, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3080, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3100, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 3120, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 3140, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 3160, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 3180, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 3200, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3220, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 3240, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 3260, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3280, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 3300, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 3320, training: 1, testing: 0.666667, anv: 0.916667, best 0.966667 
step 3340, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 3360, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3380, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3400, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3420, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3440, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3460, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3480, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 3500, training: 1, testing: 0.833333, anv: 0.883333, best 0.966667 
step 3520, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 3540, training: 1, testing: 1, anv: 0.9, best 0.966667 
step 3560, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3580, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3600, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3620, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3640, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3660, training: 1, testing: 0.833333, anv: 0.9, best 0.966667 
step 3680, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3700, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3720, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 3740, training: 1, testing: 0.833333, anv: 0.916667, best 0.966667 
step 3760, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3780, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3800, training: 1, testing: 1, anv: 0.916667, best 0.966667 
step 3820, training: 1, testing: 1, anv: 0.933333, best 0.966667 
step 3840, training: 1, testing: 1, anv: 0.95, best 0.966667 
step 3860, training: 1, testing: 1, anv: 0.966667, best 0.966667 
 
****************************************
current sequence is 2
****************************************
