Sun Apr  9 17:32:13 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 3
****************************************
step 0, training: 0.222222, testing: 0.166667, anv: 0.0555556, best 0.0555556 
step 5, training: 0.166667, testing: 0.166667, anv: 0.111111, best 0.111111 
step 10, training: 0.111111, testing: 0.166667, anv: 0.166667, best 0.166667 
step 15, training: 0.0555556, testing: 0.166667, anv: 0.166667, best 0.166667 
step 20, training: 0.444444, testing: 0.333333, anv: 0.222222, best 0.222222 
step 25, training: 0.5, testing: 0.333333, anv: 0.277778, best 0.277778 
step 30, training: 0.444444, testing: 0.166667, anv: 0.277778, best 0.277778 
step 35, training: 0.388889, testing: 0.333333, anv: 0.277778, best 0.277778 
step 40, training: 0.5, testing: 0.666667, anv: 0.388889, best 0.388889 
step 45, training: 0.555556, testing: 0.5, anv: 0.5, best 0.5 
step 50, training: 0.444444, testing: 0.833333, anv: 0.666667, best 0.666667 
step 55, training: 0.444444, testing: 0.666667, anv: 0.666667, best 0.666667 
step 60, training: 0.833333, testing: 0.666667, anv: 0.722222, best 0.722222 
step 65, training: 0.611111, testing: 0.666667, anv: 0.666667, best 0.722222 
step 70, training: 0.555556, testing: 0.666667, anv: 0.666667, best 0.722222 
step 75, training: 0.555556, testing: 0.666667, anv: 0.666667, best 0.722222 
step 80, training: 0.333333, testing: 0.833333, anv: 0.722222, best 0.722222 
step 85, training: 0.944444, testing: 0.666667, anv: 0.722222, best 0.722222 
step 90, training: 0.777778, testing: 0.5, anv: 0.666667, best 0.722222 
step 95, training: 0.944444, testing: 0.5, anv: 0.555556, best 0.722222 
step 100, training: 0.555556, testing: 0.666667, anv: 0.555556, best 0.722222 
step 105, training: 0.833333, testing: 0.666667, anv: 0.611111, best 0.722222 
step 110, training: 0.611111, testing: 0.666667, anv: 0.666667, best 0.722222 
step 115, training: 0.888889, testing: 0.5, anv: 0.611111, best 0.722222 
step 120, training: 0.722222, testing: 0.5, anv: 0.555556, best 0.722222 
step 125, training: 0.722222, testing: 0.5, anv: 0.5, best 0.722222 
step 130, training: 0.722222, testing: 0.5, anv: 0.5, best 0.722222 
step 135, training: 0.833333, testing: 0.666667, anv: 0.555556, best 0.722222 
step 140, training: 0.888889, testing: 0.5, anv: 0.555556, best 0.722222 
step 145, training: 0.944444, testing: 0.5, anv: 0.555556, best 0.722222 
step 150, training: 0.722222, testing: 0.5, anv: 0.5, best 0.722222 
step 155, training: 0.944444, testing: 0.5, anv: 0.5, best 0.722222 
step 160, training: 0.833333, testing: 0.5, anv: 0.5, best 0.722222 
step 165, training: 0.777778, testing: 0.833333, anv: 0.611111, best 0.722222 
step 170, training: 0.777778, testing: 0.833333, anv: 0.722222, best 0.722222 
step 175, training: 0.888889, testing: 0.5, anv: 0.722222, best 0.722222 
step 180, training: 0.777778, testing: 0.5, anv: 0.611111, best 0.722222 
step 185, training: 0.944444, testing: 0.666667, anv: 0.555556, best 0.722222 
step 190, training: 0.833333, testing: 0.5, anv: 0.555556, best 0.722222 
step 195, training: 0.944444, testing: 0.666667, anv: 0.611111, best 0.722222 
step 200, training: 0.777778, testing: 0.833333, anv: 0.666667, best 0.722222 
step 205, training: 0.888889, testing: 0.666667, anv: 0.722222, best 0.722222 
step 210, training: 0.833333, testing: 0.666667, anv: 0.722222, best 0.722222 
step 215, training: 0.722222, testing: 0.833333, anv: 0.722222, best 0.722222 
