Tue May  9 18:25:40 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 3
****************************************
epoch: 0, step: 0, training: 0.1875, loss: 4.71854e+12, testing: 0.166667, t2y: 0.333333, anv: 0.0555556, best: 0.0555556 
epoch: 1, step: 20, training: 0.3125, loss: 3.06341e+12, testing: 0.166667, t2y: 0.5, anv: 0.111111, best: 0.111111 
epoch: 2, step: 40, training: 0.375, loss: 2.51846e+12, testing: 0.166667, t2y: 0.5, anv: 0.166667, best: 0.166667 
epoch: 3, step: 60, training: 0.5, loss: 2.14176e+12, testing: 0.5, t2y: 0.5, anv: 0.277778, best: 0.277778 
epoch: 4, step: 80, training: 0.625, loss: 1.84487e+12, testing: 0.666667, t2y: 0.666667, anv: 0.444444, best: 0.444444 
epoch: 5, step: 100, training: 0.6875, loss: 1.54815e+12, testing: 0.5, t2y: 1, anv: 0.555556, best: 0.555556 
epoch: 6, step: 120, training: 0.8125, loss: 1.09913e+12, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 7, step: 140, training: 0.625, loss: 1.10573e+12, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.555556 
epoch: 8, step: 160, training: 0.875, loss: 9.90335e+11, testing: 0.666667, t2y: 0.833333, anv: 0.555556, best: 0.555556 
epoch: 9, step: 180, training: 0.75, loss: 1.24446e+12, testing: 0.5, t2y: 1, anv: 0.555556, best: 0.555556 
epoch: 10, step: 200, training: 0.8125, loss: 1.20623e+12, testing: 0.666667, t2y: 1, anv: 0.611111, best: 0.611111 
epoch: 11, step: 220, training: 0.75, loss: 1.04341e+12, testing: 0.833333, t2y: 1, anv: 0.666667, best: 0.666667 
epoch: 12, step: 240, training: 0.6875, loss: 2.51002e+12, testing: 0.666667, t2y: 1, anv: 0.722222, best: 0.722222 
epoch: 13, step: 260, training: 0.8125, loss: 1.65566e+12, testing: 0.666667, t2y: 1, anv: 0.722222, best: 0.722222 
epoch: 14, step: 280, training: 0.625, loss: 1.92722e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 15, step: 300, training: 0.75, loss: 1.46958e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 16, step: 320, training: 0.8125, loss: 1.33218e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 17, step: 340, training: 0.8125, loss: 1.60457e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 18, step: 360, training: 0.875, loss: 5.86231e+11, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 19, step: 380, training: 0.8125, loss: 4.50863e+11, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 20, step: 400, training: 0.875, loss: 7.36815e+11, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 21, step: 420, training: 0.875, loss: 1.05718e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 22, step: 440, training: 0.9375, loss: 1.55733e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 23, step: 460, training: 1, loss: 5.33977e+11, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 24, step: 480, training: 0.8125, loss: 8.60019e+11, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 25, step: 500, training: 0.875, loss: 5.66131e+11, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 26, step: 520, training: 0.8125, loss: 1.35523e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 27, step: 540, training: 0.6875, loss: 5.4971e+11, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 28, step: 560, training: 0.6875, loss: 1.0918e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 29, step: 580, training: 0.75, loss: 1.36043e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 30, step: 600, training: 0.8125, loss: 1.37255e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
epoch: 31, step: 620, training: 0.9375, loss: 1.70798e+12, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.722222 
 
****************************************
current sequence is 4
****************************************
epoch: 0, step: 0, training: 0.3125, loss: 3.52703e+12, testing: 0, t2y: 0.166667, anv: 0, best: 0 
epoch: 1, step: 20, training: 0.3125, loss: 2.38861e+12, testing: 0.333333, t2y: 0.666667, anv: 0.111111, best: 0.111111 
epoch: 2, step: 40, training: 0.625, loss: 2.00374e+12, testing: 0.5, t2y: 0.666667, anv: 0.277778, best: 0.277778 
epoch: 3, step: 60, training: 0.5, loss: 2.32209e+12, testing: 0.333333, t2y: 0.5, anv: 0.388889, best: 0.388889 
epoch: 4, step: 80, training: 0.6875, loss: 1.79024e+12, testing: 0.333333, t2y: 0.666667, anv: 0.388889, best: 0.388889 
epoch: 5, step: 100, training: 0.75, loss: 1.19947e+12, testing: 0.5, t2y: 0.666667, anv: 0.388889, best: 0.388889 
epoch: 6, step: 120, training: 0.6875, loss: 1.44572e+12, testing: 0.333333, t2y: 0.666667, anv: 0.388889, best: 0.388889 
epoch: 7, step: 140, training: 0.8125, loss: 1.26508e+12, testing: 0.333333, t2y: 0.666667, anv: 0.388889, best: 0.388889 
epoch: 8, step: 160, training: 0.9375, loss: 1.64025e+12, testing: 0.333333, t2y: 0.5, anv: 0.333333, best: 0.388889 
epoch: 9, step: 180, training: 0.8125, loss: 1.35634e+12, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.388889 
epoch: 10, step: 200, training: 0.625, loss: 1.30461e+12, testing: 0.333333, t2y: 0.666667, anv: 0.333333, best: 0.388889 
epoch: 11, step: 220, training: 0.6875, loss: 8.94125e+11, testing: 0.333333, t2y: 0.666667, anv: 0.333333, best: 0.388889 
epoch: 12, step: 240, training: 0.75, loss: 4.79915e+11, testing: 0.5, t2y: 0.833333, anv: 0.388889, best: 0.388889 
epoch: 13, step: 260, training: 0.75, loss: 1.2613e+12, testing: 0.5, t2y: 0.833333, anv: 0.444444, best: 0.444444 
epoch: 14, step: 280, training: 0.6875, loss: 1.02786e+12, testing: 0.333333, t2y: 0.833333, anv: 0.444444, best: 0.444444 
epoch: 15, step: 300, training: 0.8125, loss: 1.3462e+12, testing: 0.333333, t2y: 0.833333, anv: 0.388889, best: 0.444444 
epoch: 16, step: 320, training: 0.8125, loss: 1.1528e+12, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.444444 
epoch: 17, step: 340, training: 0.6875, loss: 1.10738e+12, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.444444 
epoch: 18, step: 360, training: 0.875, loss: 1.71693e+12, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.444444 
epoch: 19, step: 380, training: 0.9375, loss: 1.44055e+12, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.444444 
epoch: 20, step: 400, training: 0.75, loss: 1.0588e+12, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.444444 
epoch: 21, step: 420, training: 0.8125, loss: 1.57706e+12, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.444444 
epoch: 22, step: 440, training: 0.9375, loss: 1.13921e+12, testing: 0.5, t2y: 0.833333, anv: 0.388889, best: 0.444444 
