Wed May 10 12:41:58 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 2
****************************************
seq: 2, epoch: 0, step: 0, training: 0.1875, loss: 8.51456e+06, testing: 0.166667, t2y: 0.333333, anv: 0.0555556, best: 0.0555556 
seq: 2, epoch: 1, step: 20, training: 0.25, loss: 603807, testing: 0.166667, t2y: 0.333333, anv: 0.111111, best: 0.111111 
seq: 2, epoch: 2, step: 40, training: 0.5, loss: 230886, testing: 0.166667, t2y: 0.833333, anv: 0.166667, best: 0.166667 
seq: 2, epoch: 3, step: 60, training: 0.5625, loss: 219753, testing: 0.333333, t2y: 0.666667, anv: 0.222222, best: 0.222222 
seq: 2, epoch: 4, step: 80, training: 0.5625, loss: 160493, testing: 0.5, t2y: 0.833333, anv: 0.333333, best: 0.333333 
seq: 2, epoch: 5, step: 100, training: 0.8125, loss: 98762.1, testing: 0.666667, t2y: 0.666667, anv: 0.5, best: 0.5 
seq: 2, epoch: 6, step: 120, training: 0.875, loss: 39643.9, testing: 0.666667, t2y: 1, anv: 0.611111, best: 0.611111 
seq: 2, epoch: 7, step: 140, training: 0.9375, loss: 55331.9, testing: 0.666667, t2y: 0.666667, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 8, step: 160, training: 0.9375, loss: 71634.1, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 9, step: 180, training: 0.9375, loss: 40821.5, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 10, step: 200, training: 0.9375, loss: 35591.5, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 11, step: 220, training: 0.9375, loss: 51550.1, testing: 0.833333, t2y: 0.833333, anv: 0.722222, best: 0.722222 
seq: 2, epoch: 12, step: 240, training: 1, loss: 18433.9, testing: 0.833333, t2y: 1, anv: 0.777778, best: 0.777778 
seq: 2, epoch: 13, step: 260, training: 0.9375, loss: 70420.2, testing: 0.833333, t2y: 1, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 14, step: 280, training: 1, loss: 38303.7, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 15, step: 300, training: 1, loss: 38116.7, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 16, step: 320, training: 1, loss: 10254.2, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 17, step: 340, training: 1, loss: 11665.1, testing: 0.833333, t2y: 1, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 18, step: 360, training: 1, loss: 33443.1, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 19, step: 380, training: 1, loss: 14502.9, testing: 0.833333, t2y: 1, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 20, step: 400, training: 1, loss: 8235.63, testing: 0.666667, t2y: 1, anv: 0.777778, best: 0.833333 
seq: 2, epoch: 21, step: 420, training: 1, loss: 11514.8, testing: 0.833333, t2y: 1, anv: 0.777778, best: 0.833333 
seq: 2, epoch: 22, step: 440, training: 1, loss: 28860.1, testing: 0.833333, t2y: 1, anv: 0.777778, best: 0.833333 
seq: 2, epoch: 23, step: 460, training: 0.9375, loss: 33846.5, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
seq: 2, epoch: 24, step: 480, training: 1, loss: 11918.6, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
