Wed May 10 13:39:59 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 2
****************************************
seq: 2, epoch: 0, step: 0, training: 0.5, loss: 556578, testing: 0.166667, t2y: 0.333333, anv: 0.0555556, best: 0.0555556 
seq: 2, epoch: 1, step: 20, training: 0.25, loss: 50099.5, testing: 0.166667, t2y: 0.333333, anv: 0.111111, best: 0.111111 
seq: 2, epoch: 2, step: 40, training: 0.3125, loss: 29702.5, testing: 0.166667, t2y: 0.666667, anv: 0.166667, best: 0.166667 
seq: 2, epoch: 3, step: 60, training: 0.625, loss: 22113.6, testing: 0.166667, t2y: 0.333333, anv: 0.166667, best: 0.166667 
seq: 2, epoch: 4, step: 80, training: 0.75, loss: 7620, testing: 0.333333, t2y: 0.333333, anv: 0.222222, best: 0.222222 
seq: 2, epoch: 5, step: 100, training: 0.875, loss: 4073.32, testing: 0.5, t2y: 0.833333, anv: 0.333333, best: 0.333333 
seq: 2, epoch: 6, step: 120, training: 0.875, loss: 2882.03, testing: 0.333333, t2y: 0.833333, anv: 0.388889, best: 0.388889 
seq: 2, epoch: 7, step: 140, training: 0.9375, loss: 3567.72, testing: 0.666667, t2y: 0.833333, anv: 0.5, best: 0.5 
seq: 2, epoch: 8, step: 160, training: 0.9375, loss: 3141.6, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
seq: 2, epoch: 9, step: 180, training: 0.8125, loss: 2950.48, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.555556 
seq: 2, epoch: 10, step: 200, training: 1, loss: 1209.12, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.555556 
seq: 2, epoch: 11, step: 220, training: 1, loss: 2196.96, testing: 0.666667, t2y: 0.833333, anv: 0.555556, best: 0.555556 
seq: 2, epoch: 12, step: 240, training: 1, loss: 1318.77, testing: 0.666667, t2y: 0.666667, anv: 0.611111, best: 0.611111 
seq: 2, epoch: 13, step: 260, training: 1, loss: 1407, testing: 0.666667, t2y: 0.666667, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 14, step: 280, training: 1, loss: 1979.46, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 15, step: 300, training: 1, loss: 3228.55, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 16, step: 320, training: 1, loss: 293.822, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 17, step: 340, training: 1, loss: 151.962, testing: 0.833333, t2y: 0.833333, anv: 0.722222, best: 0.722222 
seq: 2, epoch: 18, step: 360, training: 1, loss: 535.209, testing: 0.833333, t2y: 0.833333, anv: 0.777778, best: 0.777778 
seq: 2, epoch: 19, step: 380, training: 1, loss: 370.067, testing: 0.666667, t2y: 0.833333, anv: 0.777778, best: 0.777778 
