Fri May 12 11:17:43 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0.375, loss: 13049.1, testing: 0.166667, t2y: 0.333333, anv: 0.0555556, best: 0.0555556 
seq: 1, epoch: 1, step: 20, training: 0.25, loss: 6540.07, testing: 0.333333, t2y: 0.333333, anv: 0.166667, best: 0.166667 
seq: 1, epoch: 2, step: 40, training: 0.3125, loss: 3549.64, testing: 0.166667, t2y: 0.333333, anv: 0.222222, best: 0.222222 
seq: 1, epoch: 3, step: 60, training: 0.375, loss: 2362.17, testing: 0.333333, t2y: 0.5, anv: 0.277778, best: 0.277778 
seq: 1, epoch: 4, step: 80, training: 0.5, loss: 1099.45, testing: 0.333333, t2y: 0.5, anv: 0.277778, best: 0.277778 
seq: 1, epoch: 5, step: 100, training: 0.75, loss: 1698.72, testing: 0.666667, t2y: 0.833333, anv: 0.444444, best: 0.444444 
seq: 1, epoch: 6, step: 120, training: 0.4375, loss: 991.55, testing: 0.333333, t2y: 1, anv: 0.444444, best: 0.444444 
seq: 1, epoch: 7, step: 140, training: 0.625, loss: 407.947, testing: 0.333333, t2y: 0.833333, anv: 0.444444, best: 0.444444 
seq: 1, epoch: 8, step: 160, training: 0.5, loss: 365.003, testing: 0.5, t2y: 0.666667, anv: 0.388889, best: 0.444444 
seq: 1, epoch: 9, step: 180, training: 0.8125, loss: 279.071, testing: 0.5, t2y: 0.833333, anv: 0.444444, best: 0.444444 
seq: 1, epoch: 10, step: 200, training: 0.8125, loss: 406.741, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
seq: 1, epoch: 11, step: 220, training: 0.9375, loss: 374.271, testing: 0.666667, t2y: 1, anv: 0.555556, best: 0.555556 
seq: 1, epoch: 12, step: 240, training: 0.8125, loss: 208.056, testing: 0.666667, t2y: 0.833333, anv: 0.611111, best: 0.611111 
seq: 1, epoch: 13, step: 260, training: 0.75, loss: 280.164, testing: 0.666667, t2y: 1, anv: 0.666667, best: 0.666667 
seq: 1, epoch: 14, step: 280, training: 0.8125, loss: 172.002, testing: 0.833333, t2y: 1, anv: 0.722222, best: 0.722222 
seq: 1, epoch: 15, step: 300, training: 1, loss: 11.6086, testing: 0.833333, t2y: 1, anv: 0.777778, best: 0.777778 
seq: 1, epoch: 16, step: 320, training: 0.625, loss: 248.725, testing: 0.666667, t2y: 0.833333, anv: 0.777778, best: 0.777778 
seq: 1, epoch: 17, step: 340, training: 0.9375, loss: 224.722, testing: 0.666667, t2y: 1, anv: 0.722222, best: 0.777778 
seq: 1, epoch: 18, step: 360, training: 1, loss: 79.8213, testing: 0.833333, t2y: 1, anv: 0.722222, best: 0.777778 
seq: 1, epoch: 19, step: 380, training: 0.9375, loss: 58.5081, testing: 0.5, t2y: 0.833333, anv: 0.666667, best: 0.777778 
seq: 1, epoch: 20, step: 400, training: 0.9375, loss: 137.582, testing: 0.833333, t2y: 1, anv: 0.722222, best: 0.777778 
seq: 1, epoch: 21, step: 420, training: 0.9375, loss: 50.878, testing: 0.833333, t2y: 1, anv: 0.722222, best: 0.777778 
seq: 1, epoch: 22, step: 440, training: 0.9375, loss: 124.461, testing: 0.5, t2y: 1, anv: 0.722222, best: 0.777778 
seq: 1, epoch: 23, step: 460, training: 0.9375, loss: 152.632, testing: 0.833333, t2y: 1, anv: 0.722222, best: 0.777778 
