Sat May 13 21:53:34 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0.625, loss: 12208.2, testing: 0.684211, t2y: 0.736842, anv: 0.22807, best: 0.22807 
seq: 1, epoch: 0, step: 20, training: 0.6875, loss: 5048.98, testing: 0.684211, t2y: 0.736842, anv: 0.45614, best: 0.45614 
seq: 1, epoch: 1, step: 40, training: 0.75, loss: 1754.41, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 2, step: 60, training: 0.6875, loss: 1814.43, testing: 0.684211, t2y: 0.736842, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 3, step: 80, training: 0.6875, loss: 1526.54, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 4, step: 100, training: 0.8125, loss: 385.536, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 5, step: 120, training: 0.9375, loss: 306.638, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 6, step: 140, training: 0.75, loss: 647.987, testing: 0.684211, t2y: 0.842105, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 7, step: 160, training: 0.8125, loss: 306.625, testing: 0.789474, t2y: 0.842105, anv: 0.719298, best: 0.719298 
seq: 1, epoch: 8, step: 180, training: 1, loss: 143.123, testing: 0.684211, t2y: 0.842105, anv: 0.719298, best: 0.719298 
seq: 1, epoch: 9, step: 200, training: 0.9375, loss: 216.508, testing: 0.842105, t2y: 0.894737, anv: 0.77193, best: 0.77193 
seq: 1, epoch: 10, step: 220, training: 0.75, loss: 359.242, testing: 0.736842, t2y: 0.842105, anv: 0.754386, best: 0.77193 
seq: 1, epoch: 10, step: 240, training: 0.8125, loss: 136.274, testing: 0.842105, t2y: 0.894737, anv: 0.807018, best: 0.807018 
seq: 1, epoch: 11, step: 260, training: 0.75, loss: 419.931, testing: 0.736842, t2y: 0.894737, anv: 0.77193, best: 0.807018 
seq: 1, epoch: 12, step: 280, training: 0.875, loss: 331.638, testing: 0.789474, t2y: 0.947368, anv: 0.789474, best: 0.807018 
seq: 1, epoch: 13, step: 300, training: 0.9375, loss: 297.507, testing: 0.842105, t2y: 0.947368, anv: 0.789474, best: 0.807018 
seq: 1, epoch: 14, step: 320, training: 0.75, loss: 250.584, testing: 0.684211, t2y: 0.894737, anv: 0.77193, best: 0.807018 
seq: 1, epoch: 15, step: 340, training: 0.875, loss: 124.572, testing: 0.842105, t2y: 0.894737, anv: 0.789474, best: 0.807018 
seq: 1, epoch: 16, step: 360, training: 0.9375, loss: 46.6338, testing: 0.842105, t2y: 0.947368, anv: 0.789474, best: 0.807018 
seq: 1, epoch: 17, step: 380, training: 0.6875, loss: 347.514, testing: 0.894737, t2y: 0.947368, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 18, step: 400, training: 1, loss: 19.0514, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 19, step: 420, training: 0.9375, loss: 52.3382, testing: 0.789474, t2y: 0.947368, anv: 0.842105, best: 0.859649 
seq: 1, epoch: 20, step: 440, training: 0.9375, loss: 0.765668, testing: 0.842105, t2y: 0.947368, anv: 0.824561, best: 0.859649 
seq: 1, epoch: 20, step: 460, training: 1, loss: 19.7645, testing: 0.894737, t2y: 0.947368, anv: 0.842105, best: 0.859649 
seq: 1, epoch: 21, step: 480, training: 0.9375, loss: 135.667, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 22, step: 500, training: 1, loss: 18.3207, testing: 0.842105, t2y: 1, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 23, step: 520, training: 0.9375, loss: 57.4292, testing: 0.894737, t2y: 1, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 24, step: 540, training: 0.9375, loss: 63.9583, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 25, step: 560, training: 1, loss: 62.1159, testing: 0.842105, t2y: 1, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 26, step: 580, training: 1, loss: 22.9342, testing: 0.894737, t2y: 1, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 27, step: 600, training: 1, loss: 0, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 28, step: 620, training: 1, loss: 159.589, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 29, step: 640, training: 1, loss: 55.844, testing: 0.947368, t2y: 0.947368, anv: 0.877193, best: 0.877193 
seq: 1, epoch: 30, step: 660, training: 1, loss: 62.942, testing: 0.894737, t2y: 0.947368, anv: 0.894737, best: 0.894737 
seq: 1, epoch: 30, step: 680, training: 0.9375, loss: 128.175, testing: 0.842105, t2y: 0.947368, anv: 0.894737, best: 0.894737 
seq: 1, epoch: 31, step: 700, training: 0.9375, loss: 213.324, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.894737 
seq: 1, epoch: 32, step: 720, training: 0.875, loss: 10.6681, testing: 0.894737, t2y: 0.947368, anv: 0.859649, best: 0.894737 
seq: 1, epoch: 33, step: 740, training: 1, loss: 9.34264, testing: 0.947368, t2y: 0.947368, anv: 0.894737, best: 0.894737 
seq: 1, epoch: 34, step: 760, training: 0.875, loss: 25.2867, testing: 0.894737, t2y: 0.947368, anv: 0.912281, best: 0.912281 
seq: 1, epoch: 35, step: 780, training: 1, loss: 34.4813, testing: 0.894737, t2y: 0.947368, anv: 0.912281, best: 0.912281 
seq: 1, epoch: 36, step: 800, training: 1, loss: 2.37524, testing: 0.894737, t2y: 0.947368, anv: 0.894737, best: 0.912281 
seq: 1, epoch: 37, step: 820, training: 0.9375, loss: 77.332, testing: 0.894737, t2y: 0.947368, anv: 0.894737, best: 0.912281 
seq: 1, epoch: 38, step: 840, training: 1, loss: 80.2528, testing: 0.842105, t2y: 0.947368, anv: 0.877193, best: 0.912281 
seq: 1, epoch: 39, step: 860, training: 1, loss: 25.5309, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.912281 
seq: 1, epoch: 40, step: 880, training: 1, loss: 8.57843, testing: 0.842105, t2y: 0.947368, anv: 0.842105, best: 0.912281 
seq: 1, epoch: 40, step: 900, training: 1, loss: 46.9076, testing: 0.842105, t2y: 0.947368, anv: 0.842105, best: 0.912281 
seq: 1, epoch: 41, step: 920, training: 1, loss: 10.412, testing: 0.842105, t2y: 0.947368, anv: 0.842105, best: 0.912281 
seq: 1, epoch: 42, step: 940, training: 1, loss: 4.64399, testing: 0.842105, t2y: 0.947368, anv: 0.842105, best: 0.912281 
seq: 1, epoch: 43, step: 960, training: 1, loss: 35.7057, testing: 0.894737, t2y: 1, anv: 0.859649, best: 0.912281 
seq: 1, epoch: 44, step: 980, training: 1, loss: 55.5391, testing: 0.894737, t2y: 1, anv: 0.877193, best: 0.912281 
seq: 1, epoch: 45, step: 1000, training: 1, loss: 46.1151, testing: 0.894737, t2y: 1, anv: 0.894737, best: 0.912281 
seq: 1, epoch: 46, step: 1020, training: 1, loss: 30.7016, testing: 0.842105, t2y: 0.947368, anv: 0.877193, best: 0.912281 
seq: 1, epoch: 47, step: 1040, training: 1, loss: 16.9386, testing: 0.894737, t2y: 1, anv: 0.877193, best: 0.912281 
seq: 1, epoch: 48, step: 1060, training: 1, loss: 0, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.912281 
seq: 1, epoch: 49, step: 1080, training: 1, loss: 37.3447, testing: 0.842105, t2y: 0.947368, anv: 0.859649, best: 0.912281 
seq: 1, epoch: 50, step: 1100, training: 1, loss: 227.206, testing: 0.842105, t2y: 0.947368, anv: 0.842105, best: 0.912281 
 
****************************************
current sequence is 2
****************************************
