Thu May 18 13:08:20 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0.8125, loss: 1882.46, testing: 0.684211, t2y: 0.736842, anv: 0.22807, best: 0.22807 
seq: 1, epoch: 0, step: 20, training: 0.6875, loss: 3622.3, testing: 0.684211, t2y: 0.684211, anv: 0.45614, best: 0.45614 
seq: 1, epoch: 0, step: 40, training: 0.75, loss: 2034.63, testing: 0.684211, t2y: 0.736842, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 0, step: 60, training: 0.75, loss: 1316.15, testing: 0.684211, t2y: 0.842105, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 1, step: 80, training: 0.6875, loss: 1863.12, testing: 0.684211, t2y: 0.736842, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 1, step: 100, training: 0.5625, loss: 1115.73, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 1, step: 120, training: 0.75, loss: 714.476, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 2, step: 140, training: 0.75, loss: 360.857, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 2, step: 160, training: 0.625, loss: 370.071, testing: 0.684211, t2y: 0.842105, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 2, step: 180, training: 0.6875, loss: 322.956, testing: 0.684211, t2y: 0.842105, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 2, step: 200, training: 0.8125, loss: 186.069, testing: 0.684211, t2y: 0.894737, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 3, step: 220, training: 0.75, loss: 360.533, testing: 0.684211, t2y: 0.789474, anv: 0.684211, best: 0.684211 
seq: 1, epoch: 3, step: 240, training: 0.9375, loss: 198.049, testing: 0.736842, t2y: 0.947368, anv: 0.701754, best: 0.701754 
seq: 1, epoch: 3, step: 260, training: 0.875, loss: 62.4037, testing: 0.736842, t2y: 0.789474, anv: 0.719298, best: 0.719298 
seq: 1, epoch: 4, step: 280, training: 0.8125, loss: 151.652, testing: 0.789474, t2y: 0.842105, anv: 0.754386, best: 0.754386 
seq: 1, epoch: 4, step: 300, training: 0.875, loss: 51.4668, testing: 0.736842, t2y: 0.842105, anv: 0.754386, best: 0.754386 
seq: 1, epoch: 4, step: 320, training: 0.8125, loss: 87.1268, testing: 0.789474, t2y: 0.894737, anv: 0.77193, best: 0.77193 
seq: 1, epoch: 5, step: 340, training: 0.875, loss: 104.255, testing: 0.789474, t2y: 0.947368, anv: 0.77193, best: 0.77193 
seq: 1, epoch: 5, step: 360, training: 1, loss: 106.409, testing: 0.894737, t2y: 0.947368, anv: 0.824561, best: 0.824561 
seq: 1, epoch: 5, step: 380, training: 1, loss: 14.522, testing: 0.736842, t2y: 0.947368, anv: 0.807018, best: 0.824561 
seq: 1, epoch: 5, step: 400, training: 1, loss: 221.58, testing: 0.842105, t2y: 0.947368, anv: 0.824561, best: 0.824561 
seq: 1, epoch: 6, step: 420, training: 0.9375, loss: 134.663, testing: 0.842105, t2y: 0.894737, anv: 0.807018, best: 0.824561 
seq: 1, epoch: 6, step: 440, training: 0.9375, loss: 49.1861, testing: 0.894737, t2y: 0.947368, anv: 0.859649, best: 0.859649 
seq: 1, epoch: 6, step: 460, training: 1, loss: 38.7103, testing: 0.894737, t2y: 0.947368, anv: 0.877193, best: 0.877193 
seq: 1, epoch: 7, step: 480, training: 0.9375, loss: 125.17, testing: 0.789474, t2y: 1, anv: 0.859649, best: 0.877193 
seq: 1, epoch: 7, step: 500, training: 0.9375, loss: 124.955, testing: 0.789474, t2y: 0.947368, anv: 0.824561, best: 0.877193 
seq: 1, epoch: 7, step: 520, training: 1, loss: 6.38613, testing: 0.894737, t2y: 1, anv: 0.824561, best: 0.877193 
seq: 1, epoch: 7, step: 540, training: 0.875, loss: 41.8949, testing: 0.842105, t2y: 1, anv: 0.842105, best: 0.877193 
seq: 1, epoch: 8, step: 560, training: 1, loss: 0, testing: 0.894737, t2y: 1, anv: 0.877193, best: 0.877193 
seq: 1, epoch: 8, step: 580, training: 0.9375, loss: 55.5292, testing: 0.947368, t2y: 1, anv: 0.894737, best: 0.894737 
seq: 1, epoch: 8, step: 600, training: 1, loss: 12.2463, testing: 1, t2y: 1, anv: 0.947368, best: 0.947368 
seq: 1, epoch: 9, step: 620, training: 1, loss: 20.7655, testing: 0.894737, t2y: 1, anv: 0.947368, best: 0.947368 
seq: 1, epoch: 9, step: 640, training: 1, loss: 4.54089, testing: 0.894737, t2y: 1, anv: 0.929825, best: 0.947368 
seq: 1, epoch: 9, step: 660, training: 1, loss: 9.02014, testing: 0.947368, t2y: 1, anv: 0.912281, best: 0.947368 
seq: 1, epoch: 10, step: 680, training: 1, loss: 22.2601, testing: 0.894737, t2y: 1, anv: 0.912281, best: 0.947368 
seq: 1, epoch: 10, step: 700, training: 1, loss: 4.46831, testing: 0.894737, t2y: 0.947368, anv: 0.912281, best: 0.947368 
seq: 1, epoch: 10, step: 720, training: 1, loss: 0, testing: 0.894737, t2y: 1, anv: 0.894737, best: 0.947368 
seq: 1, epoch: 10, step: 740, training: 1, loss: 17.5174, testing: 0.947368, t2y: 1, anv: 0.912281, best: 0.947368 
seq: 1, epoch: 11, step: 760, training: 1, loss: 15.9717, testing: 1, t2y: 1, anv: 0.947368, best: 0.947368 
 
****************************************
current sequence is 2
****************************************
seq: 2, epoch: 0, step: 0, training: 0.8125, loss: 2950.11, testing: 0.6, t2y: 0.666667, anv: 0.2, best: 0.2 
seq: 2, epoch: 0, step: 20, training: 0.8125, loss: 3600.54, testing: 0.6, t2y: 0.666667, anv: 0.4, best: 0.4 
seq: 2, epoch: 0, step: 40, training: 0.6875, loss: 1936.57, testing: 0.666667, t2y: 0.666667, anv: 0.622222, best: 0.622222 
seq: 2, epoch: 0, step: 60, training: 0.75, loss: 1773.12, testing: 0.666667, t2y: 0.733333, anv: 0.644444, best: 0.644444 
seq: 2, epoch: 1, step: 80, training: 0.5625, loss: 1683.61, testing: 0.666667, t2y: 0.733333, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 1, step: 100, training: 0.6875, loss: 759.427, testing: 0.6, t2y: 0.666667, anv: 0.644444, best: 0.666667 
seq: 2, epoch: 1, step: 120, training: 0.5625, loss: 614.566, testing: 0.666667, t2y: 0.733333, anv: 0.644444, best: 0.666667 
seq: 2, epoch: 2, step: 140, training: 0.75, loss: 466.046, testing: 0.6, t2y: 0.733333, anv: 0.622222, best: 0.666667 
seq: 2, epoch: 2, step: 160, training: 0.8125, loss: 517.263, testing: 0.8, t2y: 0.866667, anv: 0.688889, best: 0.688889 
seq: 2, epoch: 2, step: 180, training: 0.8125, loss: 285.077, testing: 0.733333, t2y: 0.8, anv: 0.711111, best: 0.711111 
seq: 2, epoch: 2, step: 200, training: 0.8125, loss: 464.966, testing: 0.666667, t2y: 0.8, anv: 0.733333, best: 0.733333 
seq: 2, epoch: 3, step: 220, training: 0.9375, loss: 169.356, testing: 0.8, t2y: 0.866667, anv: 0.733333, best: 0.733333 
seq: 2, epoch: 3, step: 240, training: 0.75, loss: 301.296, testing: 0.733333, t2y: 0.933333, anv: 0.733333, best: 0.733333 
seq: 2, epoch: 3, step: 260, training: 1, loss: 126.282, testing: 0.866667, t2y: 0.866667, anv: 0.8, best: 0.8 
seq: 2, epoch: 4, step: 280, training: 0.625, loss: 511.486, testing: 0.866667, t2y: 0.933333, anv: 0.822222, best: 0.822222 
seq: 2, epoch: 4, step: 300, training: 0.9375, loss: 49.8331, testing: 0.866667, t2y: 0.933333, anv: 0.866667, best: 0.866667 
seq: 2, epoch: 4, step: 320, training: 0.8125, loss: 63.071, testing: 0.8, t2y: 0.866667, anv: 0.844444, best: 0.866667 
seq: 2, epoch: 4, step: 340, training: 0.875, loss: 9.13367, testing: 0.733333, t2y: 1, anv: 0.8, best: 0.866667 
seq: 2, epoch: 5, step: 360, training: 1, loss: 91.4353, testing: 0.866667, t2y: 0.933333, anv: 0.8, best: 0.866667 
seq: 2, epoch: 5, step: 380, training: 0.9375, loss: 15.1047, testing: 0.933333, t2y: 0.933333, anv: 0.844444, best: 0.866667 
seq: 2, epoch: 5, step: 400, training: 1, loss: 111.806, testing: 0.866667, t2y: 0.933333, anv: 0.888889, best: 0.888889 
seq: 2, epoch: 6, step: 420, training: 0.875, loss: 81.8391, testing: 0.8, t2y: 1, anv: 0.866667, best: 0.888889 
seq: 2, epoch: 6, step: 440, training: 0.9375, loss: 40.434, testing: 0.933333, t2y: 1, anv: 0.866667, best: 0.888889 
seq: 2, epoch: 6, step: 460, training: 1, loss: 65.8263, testing: 0.933333, t2y: 1, anv: 0.888889, best: 0.888889 
seq: 2, epoch: 6, step: 480, training: 1, loss: 124.628, testing: 0.866667, t2y: 1, anv: 0.911111, best: 0.911111 
seq: 2, epoch: 7, step: 500, training: 0.9375, loss: 100.964, testing: 0.866667, t2y: 1, anv: 0.888889, best: 0.911111 
seq: 2, epoch: 7, step: 520, training: 1, loss: 79.0975, testing: 0.933333, t2y: 1, anv: 0.888889, best: 0.911111 
seq: 2, epoch: 7, step: 540, training: 1, loss: 49.9604, testing: 0.866667, t2y: 1, anv: 0.888889, best: 0.911111 
seq: 2, epoch: 8, step: 560, training: 0.9375, loss: 169.97, testing: 0.933333, t2y: 1, anv: 0.911111, best: 0.911111 
seq: 2, epoch: 8, step: 580, training: 0.9375, loss: 17.1988, testing: 1, t2y: 1, anv: 0.933333, best: 0.933333 
seq: 2, epoch: 8, step: 600, training: 1, loss: 5.76657, testing: 0.866667, t2y: 0.866667, anv: 0.933333, best: 0.933333 
seq: 2, epoch: 8, step: 620, training: 0.9375, loss: 135.603, testing: 0.933333, t2y: 0.933333, anv: 0.933333, best: 0.933333 
seq: 2, epoch: 9, step: 640, training: 1, loss: 100.013, testing: 0.933333, t2y: 0.933333, anv: 0.911111, best: 0.933333 
seq: 2, epoch: 9, step: 660, training: 1, loss: 2.39507, testing: 0.933333, t2y: 0.933333, anv: 0.933333, best: 0.933333 
seq: 2, epoch: 9, step: 680, training: 0.9375, loss: 92.8626, testing: 0.933333, t2y: 1, anv: 0.933333, best: 0.933333 
seq: 2, epoch: 10, step: 700, training: 1, loss: 31.8709, testing: 0.933333, t2y: 1, anv: 0.933333, best: 0.933333 
seq: 2, epoch: 10, step: 720, training: 1, loss: 0, testing: 0.933333, t2y: 1, anv: 0.933333, best: 0.933333 
seq: 2, epoch: 10, step: 740, training: 1, loss: 62.4843, testing: 1, t2y: 1, anv: 0.955556, best: 0.955556 
seq: 2, epoch: 11, step: 760, training: 0.9375, loss: 32.4566, testing: 1, t2y: 1, anv: 0.977778, best: 0.977778 
 
****************************************
current sequence is 3
****************************************
seq: 3, epoch: 0, step: 0, training: 0.875, loss: 2181.76, testing: 0.75, t2y: 0.791667, anv: 0.25, best: 0.25 
seq: 3, epoch: 0, step: 20, training: 0.625, loss: 4938.24, testing: 0.75, t2y: 0.791667, anv: 0.5, best: 0.5 
seq: 3, epoch: 0, step: 40, training: 0.6875, loss: 1785.72, testing: 0.75, t2y: 0.791667, anv: 0.75, best: 0.75 
seq: 3, epoch: 0, step: 60, training: 0.8125, loss: 714.091, testing: 0.791667, t2y: 0.916667, anv: 0.763889, best: 0.763889 
seq: 3, epoch: 1, step: 80, training: 0.625, loss: 1016.56, testing: 0.75, t2y: 0.833333, anv: 0.763889, best: 0.763889 
seq: 3, epoch: 1, step: 100, training: 0.75, loss: 1398.28, testing: 0.791667, t2y: 0.833333, anv: 0.777778, best: 0.777778 
seq: 3, epoch: 1, step: 120, training: 0.875, loss: 506.592, testing: 0.791667, t2y: 0.916667, anv: 0.777778, best: 0.777778 
seq: 3, epoch: 2, step: 140, training: 0.75, loss: 604.881, testing: 0.833333, t2y: 0.916667, anv: 0.805556, best: 0.805556 
seq: 3, epoch: 2, step: 160, training: 0.9375, loss: 0, testing: 0.875, t2y: 0.916667, anv: 0.833333, best: 0.833333 
seq: 3, epoch: 2, step: 180, training: 0.8125, loss: 218.126, testing: 0.833333, t2y: 0.875, anv: 0.847222, best: 0.847222 
seq: 3, epoch: 3, step: 200, training: 0.5625, loss: 592.798, testing: 0.833333, t2y: 0.916667, anv: 0.847222, best: 0.847222 
seq: 3, epoch: 3, step: 220, training: 0.875, loss: 180.269, testing: 0.833333, t2y: 0.916667, anv: 0.833333, best: 0.847222 
