Mon Jun  5 17:36:55 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0.6875, loss: 4323.78, testing: 0.684211, t2y: 0.684211, anv: 0.22807, best: 0.22807 
seq: 1, epoch: 0, step: 40, training: 0.75, loss: 1972.25, testing: 0.736842, t2y: 0.736842, anv: 0.473684, best: 0.473684 
seq: 1, epoch: 0, step: 80, training: 0.9375, loss: 367.741, testing: 0.736842, t2y: 0.842105, anv: 0.719298, best: 0.719298 
seq: 1, epoch: 0, step: 120, training: 0.75, loss: 593.321, testing: 0.789474, t2y: 0.894737, anv: 0.754386, best: 0.754386 
seq: 1, epoch: 0, step: 160, training: 0.6875, loss: 371.393, testing: 0.842105, t2y: 1, anv: 0.789474, best: 0.789474 
seq: 1, epoch: 0, step: 200, training: 0.8125, loss: 298.52, testing: 0.789474, t2y: 0.894737, anv: 0.807018, best: 0.807018 
seq: 1, epoch: 1, step: 240, training: 0.8125, loss: 258.965, testing: 0.842105, t2y: 0.947368, anv: 0.824561, best: 0.824561 
seq: 1, epoch: 1, step: 280, training: 0.9375, loss: 124.316, testing: 0.789474, t2y: 0.842105, anv: 0.807018, best: 0.824561 
seq: 1, epoch: 1, step: 320, training: 0.9375, loss: 229.806, testing: 0.894737, t2y: 0.947368, anv: 0.842105, best: 0.842105 
seq: 1, epoch: 1, step: 360, training: 1, loss: 69.122, testing: 0.789474, t2y: 1, anv: 0.824561, best: 0.842105 
seq: 1, epoch: 1, step: 400, training: 0.875, loss: 149.535, testing: 0.789474, t2y: 1, anv: 0.824561, best: 0.842105 
seq: 1, epoch: 2, step: 440, training: 1, loss: 4.96189e-06, testing: 0.894737, t2y: 1, anv: 0.824561, best: 0.842105 
seq: 1, epoch: 2, step: 480, training: 0.9375, loss: 54.5602, testing: 0.947368, t2y: 0.947368, anv: 0.877193, best: 0.877193 
seq: 1, epoch: 2, step: 520, training: 1, loss: 41.9953, testing: 0.947368, t2y: 0.947368, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 2, step: 560, training: 0.8125, loss: 61.3061, testing: 0.894737, t2y: 0.947368, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 2, step: 600, training: 1, loss: 84.2951, testing: 0.947368, t2y: 1, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 3, step: 640, training: 0.9375, loss: 3.73117, testing: 0.947368, t2y: 1, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 3, step: 680, training: 1, loss: 32.9751, testing: 0.894737, t2y: 0.947368, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 3, step: 720, training: 1, loss: 0, testing: 0.894737, t2y: 0.947368, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 3, step: 760, training: 1, loss: 0.93152, testing: 0.947368, t2y: 0.947368, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 3, step: 800, training: 1, loss: 119.84, testing: 0.894737, t2y: 0.947368, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 4, step: 840, training: 1, loss: 7.41985, testing: 0.894737, t2y: 1, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 4, step: 880, training: 1, loss: 58.5234, testing: 0.894737, t2y: 0.947368, anv: 0.894737, best: 0.929825 
seq: 1, epoch: 4, step: 920, training: 1, loss: 54.3261, testing: 0.947368, t2y: 0.947368, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 4, step: 960, training: 1, loss: 52.1948, testing: 0.947368, t2y: 0.947368, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 4, step: 1000, training: 1, loss: 24.6446, testing: 0.894737, t2y: 1, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 5, step: 1040, training: 1, loss: 0, testing: 0.947368, t2y: 1, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 5, step: 1080, training: 1, loss: 0, testing: 0.894737, t2y: 0.947368, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 5, step: 1120, training: 1, loss: 0, testing: 0.947368, t2y: 1, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 5, step: 1160, training: 1, loss: 4.42286, testing: 0.894737, t2y: 1, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 5, step: 1200, training: 1, loss: 37.6312, testing: 0.894737, t2y: 1, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 5, step: 1240, training: 1, loss: 0, testing: 0.947368, t2y: 1, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 6, step: 1280, training: 1, loss: 0, testing: 0.894737, t2y: 1, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 6, step: 1320, training: 1, loss: 0, testing: 0.947368, t2y: 0.947368, anv: 0.929825, best: 0.929825 
seq: 1, epoch: 6, step: 1360, training: 1, loss: 0, testing: 0.894737, t2y: 0.947368, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 6, step: 1400, training: 1, loss: 2.88647, testing: 0.894737, t2y: 1, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 6, step: 1440, training: 1, loss: 16.2306, testing: 0.894737, t2y: 0.947368, anv: 0.894737, best: 0.929825 
seq: 1, epoch: 7, step: 1480, training: 1, loss: 9.0273, testing: 0.947368, t2y: 1, anv: 0.912281, best: 0.929825 
seq: 1, epoch: 7, step: 1520, training: 1, loss: 0, testing: 0.947368, t2y: 1, anv: 0.929825, best: 0.929825 
 
****************************************
current sequence is 2
****************************************
seq: 2, epoch: 0, step: 0, training: 0.9375, loss: 1688.3, testing: 0.6, t2y: 0.733333, anv: 0.2, best: 0.2 
seq: 2, epoch: 0, step: 40, training: 0.75, loss: 1094.05, testing: 0.666667, t2y: 0.733333, anv: 0.422222, best: 0.422222 
seq: 2, epoch: 0, step: 80, training: 0.9375, loss: 757.32, testing: 0.733333, t2y: 0.933333, anv: 0.666667, best: 0.666667 
seq: 2, epoch: 0, step: 120, training: 0.4375, loss: 1219.39, testing: 0.666667, t2y: 0.933333, anv: 0.688889, best: 0.688889 
seq: 2, epoch: 0, step: 160, training: 0.8125, loss: 347.267, testing: 0.8, t2y: 0.866667, anv: 0.733333, best: 0.733333 
seq: 2, epoch: 0, step: 200, training: 0.9375, loss: 171.683, testing: 0.666667, t2y: 0.933333, anv: 0.711111, best: 0.733333 
seq: 2, epoch: 1, step: 240, training: 0.9375, loss: 112.452, testing: 0.866667, t2y: 0.866667, anv: 0.777778, best: 0.777778 
seq: 2, epoch: 1, step: 280, training: 0.75, loss: 326.277, testing: 0.8, t2y: 0.933333, anv: 0.777778, best: 0.777778 
seq: 2, epoch: 1, step: 320, training: 0.8125, loss: 166.199, testing: 0.8, t2y: 0.866667, anv: 0.822222, best: 0.822222 
seq: 2, epoch: 1, step: 360, training: 1, loss: 0, testing: 0.866667, t2y: 0.933333, anv: 0.822222, best: 0.822222 
seq: 2, epoch: 1, step: 400, training: 0.875, loss: 126.708, testing: 0.933333, t2y: 1, anv: 0.866667, best: 0.866667 
seq: 2, epoch: 2, step: 440, training: 0.9375, loss: 37.9114, testing: 0.8, t2y: 1, anv: 0.866667, best: 0.866667 
seq: 2, epoch: 2, step: 480, training: 0.9375, loss: 13.8173, testing: 0.733333, t2y: 0.866667, anv: 0.822222, best: 0.866667 
seq: 2, epoch: 2, step: 520, training: 1, loss: 33.4055, testing: 0.866667, t2y: 1, anv: 0.8, best: 0.866667 
seq: 2, epoch: 2, step: 560, training: 0.875, loss: 190.806, testing: 0.933333, t2y: 1, anv: 0.844444, best: 0.866667 
seq: 2, epoch: 2, step: 600, training: 1, loss: 64.5358, testing: 0.933333, t2y: 1, anv: 0.911111, best: 0.911111 
seq: 2, epoch: 2, step: 640, training: 1, loss: 73.2941, testing: 0.8, t2y: 1, anv: 0.888889, best: 0.911111 
seq: 2, epoch: 3, step: 680, training: 1, loss: 45.6318, testing: 0.866667, t2y: 1, anv: 0.866667, best: 0.911111 
seq: 2, epoch: 3, step: 720, training: 0.9375, loss: 81.6022, testing: 0.733333, t2y: 1, anv: 0.8, best: 0.911111 
