Fri Jun  9 10:53:16 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0.3125, loss_tr: 3.88928, loss_t: 2.23515, testing: 0, t2y: 0.5
seq: 1, epoch: 0, step: 10, training: 0.1875, loss_tr: 2.68466, loss_t: 2.46446, testing: 0.166667, t2y: 0.333333
seq: 1, epoch: 0, step: 20, training: 0.375, loss_tr: 3.56924, loss_t: 2.48168, testing: 0.5, t2y: 0.666667
seq: 1, epoch: 0, step: 30, training: 0.625, loss_tr: 1.15617, loss_t: 0.401061, testing: 0.5, t2y: 0.833333
seq: 1, epoch: 0, step: 40, training: 0.5625, loss_tr: 0.792337, loss_t: 1.03848, testing: 0.333333, t2y: 0.666667
seq: 1, epoch: 0, step: 50, training: 0.625, loss_tr: 2.58737, loss_t: 0.733602, testing: 0.5, t2y: 0.666667
seq: 1, epoch: 0, step: 60, training: 0.6875, loss_tr: 2.66725, loss_t: 1.37288, testing: 0.833333, t2y: 0.833333
seq: 1, epoch: 0, step: 70, training: 0.5, loss_tr: 1.76876, loss_t: 3.04421, testing: 0.333333, t2y: 0.666667
seq: 1, epoch: 1, step: 80, training: 1, loss_tr: 0.223603, loss_t: 0.224798, testing: 0.833333, t2y: 1
seq: 1, epoch: 1, step: 90, training: 0.625, loss_tr: 1.38825, loss_t: 0.305788, testing: 0.666667, t2y: 0.666667
seq: 1, epoch: 1, step: 100, training: 0.9375, loss_tr: 0.896305, loss_t: 0.375535, testing: 0.666667, t2y: 0.833333
seq: 1, epoch: 1, step: 110, training: 0.9375, loss_tr: 0.776025, loss_t: 0.35842, testing: 0.666667, t2y: 1
seq: 1, epoch: 1, step: 120, training: 0.625, loss_tr: 1.65699, loss_t: 0.0220066, testing: 1, t2y: 1
