Fri Jun  9 15:36:18 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.1875, loss_tr: 2.59783, loss_t: 1.77442, testing: 0.333333, t2y: 0.666667
seq1, epoch0, step: 10, training: 0.3125, loss_tr: 2.30993, loss_t: 1.73204, testing: 0.333333, t2y: 0.5
seq1, epoch0, step: 20, training: 0.4375, loss_tr: 1.93801, loss_t: 1.57941, testing: 0.388889, t2y: 0.666667
seq1, epoch0, step: 30, training: 0.375, loss_tr: 1.66257, loss_t: 1.42344, testing: 0.388889, t2y: 0.5
seq1, epoch0, step: 40, training: 0.5, loss_tr: 1.74066, loss_t: 1.24023, testing: 0.444444, t2y: 1
seq1, epoch0, step: 50, training: 0.875, loss_tr: 1.68878, loss_t: 1.10598, testing: 0.5, t2y: 0.833333
seq1, epoch0, step: 60, training: 0.5, loss_tr: 1.59289, loss_t: 0.956536, testing: 0.666667, t2y: 0.833333
seq1, epoch0, step: 70, training: 0.75, loss_tr: 1.30846, loss_t: 0.84698, testing: 0.777778, t2y: 1
seq1, epoch1, step: 80, training: 0.8125, loss_tr: 1.12395, loss_t: 0.773033, testing: 0.777778, t2y: 0.833333
seq1, epoch1, step: 90, training: 0.6875, loss_tr: 1.17278, loss_t: 0.684718, testing: 0.777778, t2y: 1
seq1, epoch1, step: 100, training: 0.875, loss_tr: 1.08083, loss_t: 0.612604, testing: 0.777778, t2y: 1
seq1, epoch1, step: 110, training: 0.9375, loss_tr: 1.10751, loss_t: 0.565396, testing: 0.833333, t2y: 1
seq1, epoch1, step: 120, training: 0.875, loss_tr: 0.807668, loss_t: 0.543408, testing: 0.833333, t2y: 1
seq1, epoch1, step: 130, training: 0.875, loss_tr: 0.601605, loss_t: 0.510569, testing: 0.888889, t2y: 1
seq1, epoch1, step: 140, training: 0.6875, loss_tr: 0.557093, loss_t: 0.49133, testing: 0.833333, t2y: 1
seq1, epoch1, step: 150, training: 0.9375, loss_tr: 0.509602, loss_t: 0.438067, testing: 0.888889, t2y: 1
seq1, epoch2, step: 160, training: 0.875, loss_tr: 0.713398, loss_t: 0.397306, testing: 0.888889, t2y: 1
seq1, epoch2, step: 170, training: 0.9375, loss_tr: 0.601628, loss_t: 0.319976, testing: 1, t2y: 1
 
****************************************
current sequence is 2
****************************************
seq2, epoch0, step: 0, training: 0.25, loss_tr: 2.58427, loss_t: 2.17026, testing: 0.333333, t2y: 0.333333
seq2, epoch0, step: 10, training: 0.3125, loss_tr: 2.65769, loss_t: 2.08492, testing: 0.388889, t2y: 0.5
seq2, epoch0, step: 20, training: 0.75, loss_tr: 2.29341, loss_t: 2.02788, testing: 0.444444, t2y: 0.5
seq2, epoch0, step: 30, training: 0.375, loss_tr: 1.95656, loss_t: 1.76801, testing: 0.5, t2y: 0.833333
seq2, epoch0, step: 40, training: 0.25, loss_tr: 1.6997, loss_t: 1.59344, testing: 0.444444, t2y: 0.5
