Fri Jun  9 22:38:06 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.5, loss_tr: 5124.05, loss_t: 6003.29, testing: 0, t2y: 0.333333
seq1, epoch0, step: 10, training: 0.25, loss_tr: 5174.93, loss_t: 4941.15, testing: 0.333333, t2y: 0.333333
seq1, epoch0, step: 20, training: 0.3125, loss_tr: 5029.04, loss_t: 3791.56, testing: 0.166667, t2y: 0.333333
seq1, epoch0, step: 30, training: 0.1875, loss_tr: 4273.21, loss_t: 2163.84, testing: 0.5, t2y: 0.5
seq1, epoch0, step: 40, training: 0.6875, loss_tr: 3040.39, loss_t: 1463.35, testing: 0.166667, t2y: 0.5
seq1, epoch0, step: 50, training: 0.5, loss_tr: 2211.09, loss_t: 808.302, testing: 0.5, t2y: 0.5
seq1, epoch0, step: 60, training: 0.4375, loss_tr: 1601.65, loss_t: 711.565, testing: 0.333333, t2y: 0.666667
seq1, epoch0, step: 70, training: 0.8125, loss_tr: 1526.13, loss_t: 532.773, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 80, training: 0.6875, loss_tr: 1240.39, loss_t: 399.294, testing: 0.666667, t2y: 1
seq1, epoch1, step: 90, training: 0.5, loss_tr: 1319.4, loss_t: 411.287, testing: 0.333333, t2y: 0.666667
seq1, epoch1, step: 100, training: 0.75, loss_tr: 1343.57, loss_t: 410.089, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 110, training: 0.5625, loss_tr: 1140.1, loss_t: 422.754, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 120, training: 0.8125, loss_tr: 885.078, loss_t: 151.475, testing: 0.833333, t2y: 0.833333
seq1, epoch1, step: 130, training: 0.8125, loss_tr: 637.232, loss_t: 204.091, testing: 0.5, t2y: 0.666667
seq1, epoch1, step: 140, training: 0.75, loss_tr: 427.897, loss_t: 164.312, testing: 0.5, t2y: 1
seq1, epoch1, step: 150, training: 0.5625, loss_tr: 465.128, loss_t: 256.344, testing: 0.5, t2y: 0.833333
seq1, epoch2, step: 160, training: 0.875, loss_tr: 390.145, loss_t: 150.64, testing: 0.833333, t2y: 1
seq1, epoch2, step: 170, training: 0.8125, loss_tr: 536.878, loss_t: 142.544, testing: 0.666667, t2y: 0.833333
