Sat Jun 10 01:23:23 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.4375, loss_tr: 20923, loss_t: 17899.6, testing: 0.166667, t2y: 0.5
seq1, epoch0, step: 10, training: 0.5625, loss_tr: 18593.4, loss_t: 13622.9, testing: 0.277778, t2y: 0.666667
seq1, epoch0, step: 20, training: 0.375, loss_tr: 20494.9, loss_t: 8684.39, testing: 0.388889, t2y: 0.833333
seq1, epoch0, step: 30, training: 0.625, loss_tr: 19277.4, loss_t: 3482.1, testing: 0.555556, t2y: 0.833333
seq1, epoch0, step: 40, training: 0.4375, loss_tr: 18840.7, loss_t: 3252.64, testing: 0.5, t2y: 0.833333
seq1, epoch0, step: 50, training: 0.5625, loss_tr: 13070.7, loss_t: 4323.72, testing: 0.444444, t2y: 1
seq1, epoch0, step: 60, training: 0.6875, loss_tr: 11960, loss_t: 4205.52, testing: 0.444444, t2y: 0.666667
seq1, epoch0, step: 70, training: 0.625, loss_tr: 10341.3, loss_t: 3179.34, testing: 0.444444, t2y: 0.833333
seq1, epoch1, step: 80, training: 0.75, loss_tr: 10711.2, loss_t: 1400.24, testing: 0.555556, t2y: 0.833333
seq1, epoch1, step: 90, training: 0.625, loss_tr: 8392.75, loss_t: 1309.02, testing: 0.5, t2y: 0.833333
seq1, epoch1, step: 100, training: 1, loss_tr: 6649.07, loss_t: 996.665, testing: 0.611111, t2y: 1
seq1, epoch1, step: 110, training: 0.6875, loss_tr: 4532.31, loss_t: 2697.47, testing: 0.555556, t2y: 0.833333
seq1, epoch1, step: 120, training: 0.625, loss_tr: 3361.55, loss_t: 2563.45, testing: 0.611111, t2y: 0.833333
seq1, epoch1, step: 130, training: 0.875, loss_tr: 3203, loss_t: 2441.61, testing: 0.666667, t2y: 1
seq1, epoch1, step: 140, training: 0.875, loss_tr: 3050.77, loss_t: 462.991, testing: 0.777778, t2y: 0.833333
seq1, epoch1, step: 150, training: 0.8125, loss_tr: 3428.76, loss_t: 831.465, testing: 0.722222, t2y: 0.833333
seq1, epoch2, step: 160, training: 0.75, loss_tr: 3760.27, loss_t: 895.693, testing: 0.666667, t2y: 1
seq1, epoch2, step: 170, training: 0.875, loss_tr: 3202.29, loss_t: 1751.09, testing: 0.5, t2y: 0.833333
