Sat Jun 10 12:13:42 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0, loss_tr: 3.06702, loss_t: 2.10415, testing: 0.333333, t2y: 0.333333
seq1, epoch0, step: 10, training: 0.125, loss_tr: 2.86669, loss_t: 1.98771, testing: 0.333333, t2y: 0.333333
seq1, epoch0, step: 20, training: 0.125, loss_tr: 2.95028, loss_t: 1.89602, testing: 0.333333, t2y: 0.333333
seq1, epoch0, step: 30, training: 0.25, loss_tr: 2.51098, loss_t: 1.77409, testing: 0.277778, t2y: 0.5
seq1, epoch0, step: 40, training: 0.25, loss_tr: 2.39818, loss_t: 1.71746, testing: 0.222222, t2y: 0.5
seq1, epoch0, step: 50, training: 0.1875, loss_tr: 2.17797, loss_t: 1.6609, testing: 0.222222, t2y: 0.666667
seq1, epoch0, step: 60, training: 0.4375, loss_tr: 2.16299, loss_t: 1.56874, testing: 0.333333, t2y: 0.666667
seq1, epoch0, step: 70, training: 0.375, loss_tr: 1.89663, loss_t: 1.55009, testing: 0.388889, t2y: 0.666667
seq1, epoch1, step: 80, training: 0.625, loss_tr: 1.684, loss_t: 1.46997, testing: 0.444444, t2y: 0.666667
seq1, epoch1, step: 90, training: 0.4375, loss_tr: 1.91497, loss_t: 1.44141, testing: 0.388889, t2y: 0.5
seq1, epoch1, step: 100, training: 0.875, loss_tr: 2.13727, loss_t: 1.34403, testing: 0.444444, t2y: 0.666667
seq1, epoch1, step: 110, training: 0.6875, loss_tr: 1.93462, loss_t: 1.28816, testing: 0.388889, t2y: 0.666667
seq1, epoch1, step: 120, training: 0.5625, loss_tr: 1.73076, loss_t: 1.23429, testing: 0.444444, t2y: 0.666667
seq1, epoch1, step: 130, training: 0.75, loss_tr: 1.71732, loss_t: 1.22124, testing: 0.5, t2y: 0.833333
seq1, epoch1, step: 140, training: 0.75, loss_tr: 1.66774, loss_t: 1.19792, testing: 0.555556, t2y: 0.666667
seq1, epoch1, step: 150, training: 0.6875, loss_tr: 1.42078, loss_t: 1.17135, testing: 0.555556, t2y: 0.833333
seq1, epoch2, step: 160, training: 0.75, loss_tr: 1.16262, loss_t: 1.12007, testing: 0.555556, t2y: 1
seq1, epoch2, step: 170, training: 0.625, loss_tr: 1.52285, loss_t: 1.04938, testing: 0.611111, t2y: 0.833333
seq1, epoch2, step: 180, training: 0.875, loss_tr: 1.69886, loss_t: 1.00839, testing: 0.666667, t2y: 0.833333
seq1, epoch2, step: 190, training: 0.625, loss_tr: 1.73219, loss_t: 0.973653, testing: 0.666667, t2y: 0.833333
seq1, epoch2, step: 200, training: 0.625, loss_tr: 1.57319, loss_t: 0.958111, testing: 0.722222, t2y: 0.833333
seq1, epoch2, step: 210, training: 0.75, loss_tr: 1.34084, loss_t: 0.90136, testing: 0.777778, t2y: 1
seq1, epoch2, step: 220, training: 0.8125, loss_tr: 1.34315, loss_t: 0.86324, testing: 0.833333, t2y: 1
seq1, epoch2, step: 230, training: 0.75, loss_tr: 1.11624, loss_t: 0.853808, testing: 0.777778, t2y: 0.833333
seq1, epoch3, step: 240, training: 0.9375, loss_tr: 1.28019, loss_t: 0.859697, testing: 0.722222, t2y: 1
seq1, epoch3, step: 250, training: 0.875, loss_tr: 1.24842, loss_t: 0.846317, testing: 0.666667, t2y: 1
seq1, epoch3, step: 260, training: 0.8125, loss_tr: 1.29192, loss_t: 0.821311, testing: 0.722222, t2y: 0.833333
seq1, epoch3, step: 270, training: 0.9375, loss_tr: 1.21251, loss_t: 0.769818, testing: 0.777778, t2y: 1
seq1, epoch3, step: 280, training: 0.5625, loss_tr: 1.20428, loss_t: 0.771098, testing: 0.833333, t2y: 1
seq1, epoch3, step: 290, training: 0.6875, loss_tr: 1.21343, loss_t: 0.751921, testing: 0.833333, t2y: 1
seq1, epoch3, step: 300, training: 0.6875, loss_tr: 1.23946, loss_t: 0.748014, testing: 0.833333, t2y: 0.833333
seq1, epoch3, step: 310, training: 0.75, loss_tr: 1.08924, loss_t: 0.710001, testing: 0.833333, t2y: 0.833333
seq1, epoch4, step: 320, training: 0.875, loss_tr: 0.94762, loss_t: 0.68425, testing: 0.722222, t2y: 1
seq1, epoch4, step: 330, training: 0.875, loss_tr: 0.776612, loss_t: 0.669496, testing: 0.666667, t2y: 1
seq1, epoch4, step: 340, training: 0.9375, loss_tr: 0.708763, loss_t: 0.636901, testing: 0.666667, t2y: 1
seq1, epoch4, step: 350, training: 1, loss_tr: 0.866223, loss_t: 0.587053, testing: 0.833333, t2y: 1
seq1, epoch4, step: 360, training: 0.9375, loss_tr: 0.822827, loss_t: 0.587922, testing: 0.833333, t2y: 0.833333
seq1, epoch4, step: 370, training: 0.875, loss_tr: 0.863224, loss_t: 0.582109, testing: 0.833333, t2y: 1
seq1, epoch4, step: 380, training: 0.75, loss_tr: 0.600455, loss_t: 0.572735, testing: 0.777778, t2y: 1
seq1, epoch4, step: 390, training: 0.6875, loss_tr: 0.664411, loss_t: 0.51754, testing: 0.888889, t2y: 1
seq1, epoch5, step: 400, training: 0.8125, loss_tr: 0.694085, loss_t: 0.512066, testing: 0.833333, t2y: 1
seq1, epoch5, step: 410, training: 0.875, loss_tr: 0.65882, loss_t: 0.502126, testing: 0.833333, t2y: 1
seq1, epoch5, step: 420, training: 0.9375, loss_tr: 0.684656, loss_t: 0.491748, testing: 0.777778, t2y: 1
seq1, epoch5, step: 430, training: 0.9375, loss_tr: 0.612279, loss_t: 0.459189, testing: 0.833333, t2y: 1
seq1, epoch5, step: 440, training: 0.875, loss_tr: 0.740875, loss_t: 0.446807, testing: 0.833333, t2y: 1
seq1, epoch5, step: 450, training: 1, loss_tr: 0.740579, loss_t: 0.449273, testing: 0.833333, t2y: 1
seq1, epoch5, step: 460, training: 0.875, loss_tr: 0.763349, loss_t: 0.48154, testing: 0.833333, t2y: 1
seq1, epoch5, step: 470, training: 0.875, loss_tr: 0.727073, loss_t: 0.455892, testing: 0.888889, t2y: 1
seq1, epoch6, step: 480, training: 0.9375, loss_tr: 0.634353, loss_t: 0.418952, testing: 0.944444, t2y: 1
seq1, epoch6, step: 490, training: 0.9375, loss_tr: 0.651912, loss_t: 0.375481, testing: 0.944444, t2y: 1
seq1, epoch6, step: 500, training: 0.75, loss_tr: 0.578287, loss_t: 0.404989, testing: 0.888889, t2y: 1
seq1, epoch6, step: 510, training: 0.9375, loss_tr: 0.634924, loss_t: 0.392207, testing: 0.888889, t2y: 1
 
****************************************
current sequence is 2
****************************************
seq2, epoch0, step: 0, training: 0.1875, loss_tr: 3.06066, loss_t: 2.07202, testing: 0.166667, t2y: 0.166667
seq2, epoch0, step: 10, training: 0.1875, loss_tr: 2.96154, loss_t: 1.99066, testing: 0.222222, t2y: 0.666667
seq2, epoch0, step: 20, training: 0.25, loss_tr: 2.83969, loss_t: 1.93945, testing: 0.277778, t2y: 0.666667
seq2, epoch0, step: 30, training: 0.3125, loss_tr: 2.62334, loss_t: 1.87105, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 40, training: 0.3125, loss_tr: 2.40851, loss_t: 1.83161, testing: 0.277778, t2y: 0.5
seq2, epoch0, step: 50, training: 0.375, loss_tr: 2.29715, loss_t: 1.75795, testing: 0.277778, t2y: 0.5
seq2, epoch0, step: 60, training: 0.75, loss_tr: 2.16992, loss_t: 1.65121, testing: 0.277778, t2y: 0.5
seq2, epoch0, step: 70, training: 0.5625, loss_tr: 2.2247, loss_t: 1.58024, testing: 0.388889, t2y: 0.666667
seq2, epoch1, step: 80, training: 0.4375, loss_tr: 2.10029, loss_t: 1.53845, testing: 0.333333, t2y: 0.666667
seq2, epoch1, step: 90, training: 0.625, loss_tr: 2.14364, loss_t: 1.4992, testing: 0.333333, t2y: 0.666667
seq2, epoch1, step: 100, training: 0.625, loss_tr: 2.05445, loss_t: 1.41392, testing: 0.388889, t2y: 0.666667
seq2, epoch1, step: 110, training: 0.5625, loss_tr: 1.9929, loss_t: 1.31892, testing: 0.555556, t2y: 0.666667
seq2, epoch1, step: 120, training: 0.6875, loss_tr: 1.70263, loss_t: 1.314, testing: 0.611111, t2y: 0.5
seq2, epoch1, step: 130, training: 0.625, loss_tr: 1.43142, loss_t: 1.30729, testing: 0.5, t2y: 0.666667
seq2, epoch1, step: 140, training: 0.625, loss_tr: 1.40136, loss_t: 1.2403, testing: 0.555556, t2y: 0.833333
seq2, epoch1, step: 150, training: 0.6875, loss_tr: 1.30502, loss_t: 1.12531, testing: 0.666667, t2y: 0.833333
seq2, epoch2, step: 160, training: 0.625, loss_tr: 1.30953, loss_t: 1.08158, testing: 0.777778, t2y: 0.666667
seq2, epoch2, step: 170, training: 1, loss_tr: 1.11126, loss_t: 1.06169, testing: 0.722222, t2y: 0.833333
seq2, epoch2, step: 180, training: 0.75, loss_tr: 1.22406, loss_t: 1.02089, testing: 0.666667, t2y: 0.666667
seq2, epoch2, step: 190, training: 0.75, loss_tr: 1.15049, loss_t: 0.955701, testing: 0.666667, t2y: 0.666667
seq2, epoch2, step: 200, training: 0.5625, loss_tr: 1.17368, loss_t: 0.908878, testing: 0.666667, t2y: 0.666667
seq2, epoch2, step: 210, training: 0.875, loss_tr: 1.05437, loss_t: 0.873547, testing: 0.722222, t2y: 0.833333
seq2, epoch2, step: 220, training: 0.9375, loss_tr: 1.12453, loss_t: 0.838917, testing: 0.777778, t2y: 1
seq2, epoch2, step: 230, training: 0.6875, loss_tr: 1.07628, loss_t: 0.80444, testing: 0.833333, t2y: 0.833333
seq2, epoch3, step: 240, training: 0.9375, loss_tr: 0.983677, loss_t: 0.779138, testing: 0.833333, t2y: 1
seq2, epoch3, step: 250, training: 0.9375, loss_tr: 0.855197, loss_t: 0.76138, testing: 0.777778, t2y: 1
seq2, epoch3, step: 260, training: 0.9375, loss_tr: 0.815692, loss_t: 0.754836, testing: 0.722222, t2y: 0.833333
seq2, epoch3, step: 270, training: 0.8125, loss_tr: 0.865367, loss_t: 0.739723, testing: 0.666667, t2y: 1
seq2, epoch3, step: 280, training: 1, loss_tr: 0.874033, loss_t: 0.718431, testing: 0.722222, t2y: 1
seq2, epoch3, step: 290, training: 0.9375, loss_tr: 0.85428, loss_t: 0.69954, testing: 0.777778, t2y: 0.833333
seq2, epoch3, step: 300, training: 1, loss_tr: 0.880576, loss_t: 0.687372, testing: 0.833333, t2y: 0.833333
seq2, epoch3, step: 310, training: 0.9375, loss_tr: 0.837731, loss_t: 0.675752, testing: 0.777778, t2y: 1
seq2, epoch4, step: 320, training: 0.9375, loss_tr: 0.7574, loss_t: 0.647476, testing: 0.833333, t2y: 1
seq2, epoch4, step: 330, training: 1, loss_tr: 0.72971, loss_t: 0.612991, testing: 0.888889, t2y: 1
seq2, epoch4, step: 340, training: 0.9375, loss_tr: 0.717995, loss_t: 0.614427, testing: 0.944444, t2y: 0.833333
seq2, epoch4, step: 350, training: 0.875, loss_tr: 0.739986, loss_t: 0.609456, testing: 0.888889, t2y: 1
seq2, epoch4, step: 360, training: 0.75, loss_tr: 0.855528, loss_t: 0.598403, testing: 0.833333, t2y: 1
seq2, epoch4, step: 370, training: 0.875, loss_tr: 0.875908, loss_t: 0.570004, testing: 0.888889, t2y: 1
seq2, epoch4, step: 380, training: 0.9375, loss_tr: 0.880687, loss_t: 0.548714, testing: 0.944444, t2y: 1
seq2, epoch4, step: 390, training: 0.9375, loss_tr: 0.664294, loss_t: 0.521883, testing: 1, t2y: 1
