Sat Jun 10 13:25:43 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.25, loss_tr: 1.82288, loss_t: 1.89854, testing: 0.166667, t2y: 0.666667
seq1, epoch0, step: 10, training: 0.0625, loss_tr: 2.10271, loss_t: 1.80443, testing: 0.166667, t2y: 0.333333
seq1, epoch0, step: 20, training: 0.25, loss_tr: 2.36933, loss_t: 1.78319, testing: 0.222222, t2y: 0.666667
seq1, epoch0, step: 30, training: 0.375, loss_tr: 2.38391, loss_t: 1.58939, testing: 0.222222, t2y: 0.5
seq1, epoch0, step: 40, training: 0.625, loss_tr: 1.97549, loss_t: 1.45062, testing: 0.333333, t2y: 0.5
seq1, epoch0, step: 50, training: 0.8125, loss_tr: 1.55399, loss_t: 1.19483, testing: 0.333333, t2y: 0.666667
seq1, epoch0, step: 60, training: 0.625, loss_tr: 1.43389, loss_t: 1.10185, testing: 0.5, t2y: 0.833333
seq1, epoch0, step: 70, training: 0.8125, loss_tr: 1.25877, loss_t: 0.963587, testing: 0.611111, t2y: 0.833333
seq1, epoch1, step: 80, training: 0.6875, loss_tr: 1.19384, loss_t: 0.847774, testing: 0.666667, t2y: 1
seq1, epoch1, step: 90, training: 0.9375, loss_tr: 0.902748, loss_t: 0.704828, testing: 0.722222, t2y: 1
seq1, epoch1, step: 100, training: 0.8125, loss_tr: 1.03071, loss_t: 0.609757, testing: 0.777778, t2y: 1
seq1, epoch1, step: 110, training: 0.875, loss_tr: 0.895611, loss_t: 0.566064, testing: 0.888889, t2y: 0.833333
seq1, epoch1, step: 120, training: 0.875, loss_tr: 0.89404, loss_t: 0.494551, testing: 0.944444, t2y: 1
seq1, epoch1, step: 130, training: 0.75, loss_tr: 0.739608, loss_t: 0.542963, testing: 0.833333, t2y: 0.833333
seq1, epoch1, step: 140, training: 0.875, loss_tr: 0.660589, loss_t: 0.474798, testing: 0.833333, t2y: 1
seq1, epoch1, step: 150, training: 0.75, loss_tr: 0.653901, loss_t: 0.495127, testing: 0.777778, t2y: 1
seq1, epoch2, step: 160, training: 0.8125, loss_tr: 0.563291, loss_t: 0.399079, testing: 0.833333, t2y: 1
seq1, epoch2, step: 170, training: 1, loss_tr: 0.485002, loss_t: 0.347378, testing: 0.888889, t2y: 1
seq1, epoch2, step: 180, training: 0.9375, loss_tr: 0.388411, loss_t: 0.279778, testing: 0.888889, t2y: 1
seq1, epoch2, step: 190, training: 0.9375, loss_tr: 0.306384, loss_t: 0.25917, testing: 0.888889, t2y: 1
