Sun Jun 11 11:27:02 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.3125, loss_tr: 1.68729, loss_t: 1.99892, testing: 0, t2y: 0
seq1, epoch0, step: 10, training: 0.375, loss_tr: 1.67665, loss_t: 1.89885, testing: 0.111111, t2y: 0.333333
seq1, epoch0, step: 20, training: 0.25, loss_tr: 1.77323, loss_t: 1.7708, testing: 0.222222, t2y: 0.5
seq1, epoch0, step: 30, training: 0.25, loss_tr: 1.62238, loss_t: 1.58978, testing: 0.277778, t2y: 1
seq1, epoch1, step: 40, training: 0.625, loss_tr: 1.40801, loss_t: 1.35816, testing: 0.333333, t2y: 0.833333
seq1, epoch1, step: 50, training: 0.875, loss_tr: 0.959304, loss_t: 1.09399, testing: 0.5, t2y: 0.833333
seq1, epoch1, step: 60, training: 0.8125, loss_tr: 0.76564, loss_t: 0.884769, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 70, training: 0.8125, loss_tr: 0.596149, loss_t: 0.784229, testing: 0.777778, t2y: 1
seq1, epoch2, step: 80, training: 0.8125, loss_tr: 0.498223, loss_t: 0.781307, testing: 0.722222, t2y: 0.666667
seq1, epoch2, step: 90, training: 0.9375, loss_tr: 0.370045, loss_t: 0.717111, testing: 0.722222, t2y: 0.833333
seq1, epoch2, step: 100, training: 0.875, loss_tr: 0.338201, loss_t: 0.666566, testing: 0.722222, t2y: 0.833333
seq1, epoch2, step: 110, training: 0.8125, loss_tr: 0.312358, loss_t: 0.575346, testing: 0.777778, t2y: 0.833333
seq1, epoch3, step: 120, training: 1, loss_tr: 0.298069, loss_t: 0.516561, testing: 0.777778, t2y: 1
seq1, epoch3, step: 130, training: 0.875, loss_tr: 0.215859, loss_t: 0.502979, testing: 0.777778, t2y: 0.833333
seq1, epoch3, step: 140, training: 1, loss_tr: 0.176395, loss_t: 0.428767, testing: 0.833333, t2y: 1
seq1, epoch3, step: 150, training: 0.9375, loss_tr: 0.148472, loss_t: 0.444838, testing: 0.888889, t2y: 0.833333
seq1, epoch4, step: 160, training: 1, loss_tr: 0.113348, loss_t: 0.394294, testing: 0.888889, t2y: 1
seq1, epoch4, step: 170, training: 1, loss_tr: 0.0981617, loss_t: 0.429504, testing: 0.833333, t2y: 0.833333
