Tue Jun 13 18:25:39 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 2
****************************************
seq: 2, epoch: 0, step: 0, training: 0.125, testing: 0.0714286, loss_tr: 1.89576, loss_t: 1.91027  
seq: 2, epoch: 0, step: 10, training: 0.625, testing: 0.642857, loss_tr: 1.46339, loss_t: 1.4465  
seq: 2, epoch: 0, step: 20, training: 0.6875, testing: 0.642857, loss_tr: 1.19253, loss_t: 1.36192  
seq: 2, epoch: 0, step: 30, training: 0.5625, testing: 0.642857, loss_tr: 1.39593, loss_t: 1.23935  
seq: 2, epoch: 0, step: 40, training: 0.6875, testing: 0.642857, loss_tr: 1.11863, loss_t: 1.25326  
seq: 2, epoch: 0, step: 50, training: 0.625, testing: 0.642857, loss_tr: 1.36658, loss_t: 1.30338  
seq: 2, epoch: 0, step: 60, training: 0.5625, testing: 0.642857, loss_tr: 1.47822, loss_t: 1.24787  
seq: 2, epoch: 0, step: 70, training: 0.75, testing: 0.642857, loss_tr: 0.949251, loss_t: 1.22954  
seq: 2, epoch: 0, step: 80, training: 0.5625, testing: 0.642857, loss_tr: 1.51415, loss_t: 1.26717  
seq: 2, epoch: 0, step: 90, training: 0.6875, testing: 0.642857, loss_tr: 1.13159, loss_t: 1.2483  
seq: 2, epoch: 0, step: 100, training: 0.5625, testing: 0.642857, loss_tr: 1.54907, loss_t: 1.27765  
seq: 2, epoch: 0, step: 110, training: 0.625, testing: 0.642857, loss_tr: 1.20646, loss_t: 1.20328  
seq: 2, epoch: 0, step: 120, training: 0.6875, testing: 0.642857, loss_tr: 1.10365, loss_t: 1.28944  
seq: 2, epoch: 0, step: 130, training: 0.625, testing: 0.642857, loss_tr: 1.27178, loss_t: 1.21157  
seq: 2, epoch: 0, step: 140, training: 0.375, testing: 0.642857, loss_tr: 1.89945, loss_t: 1.2181  
seq: 2, epoch: 0, step: 150, training: 0.875, testing: 0.642857, loss_tr: 0.654933, loss_t: 1.20656  
seq: 2, epoch: 0, step: 160, training: 0.75, testing: 0.642857, loss_tr: 0.969749, loss_t: 1.22055  
seq: 2, epoch: 0, step: 170, training: 0.5625, testing: 0.642857, loss_tr: 1.3942, loss_t: 1.21154  
seq: 2, epoch: 0, step: 180, training: 0.625, testing: 0.642857, loss_tr: 1.19432, loss_t: 1.18937  
seq: 2, epoch: 0, step: 190, training: 0.75, testing: 0.642857, loss_tr: 0.937284, loss_t: 1.21274  
seq: 2, epoch: 1, step: 200, training: 0.5625, testing: 0.642857, loss_tr: 1.44932, loss_t: 1.21808  
seq: 2, epoch: 1, step: 210, training: 0.8125, testing: 0.642857, loss_tr: 0.867635, loss_t: 1.16118  
seq: 2, epoch: 1, step: 220, training: 0.75, testing: 0.642857, loss_tr: 1.01389, loss_t: 1.31971  
