Thu Jun 15 01:48:44 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.3125, loss_tr: 1.61579, loss_t: 1.86488, testing: 0.5, t2y: 0.5
seq1, epoch0, step: 10, training: 0.1875, loss_tr: 1.61388, loss_t: 1.84091, testing: 0.388889, t2y: 0.333333
seq1, epoch0, step: 20, training: 0.375, loss_tr: 1.53282, loss_t: 1.69975, testing: 0.333333, t2y: 0.5
seq1, epoch0, step: 30, training: 0.75, loss_tr: 1.34255, loss_t: 1.45004, testing: 0.333333, t2y: 0.833333
seq1, epoch0, step: 40, training: 0.5625, loss_tr: 1.22896, loss_t: 1.24353, testing: 0.444444, t2y: 0.666667
seq1, epoch0, step: 50, training: 0.625, loss_tr: 1.09075, loss_t: 1.09694, testing: 0.444444, t2y: 0.833333
seq1, epoch0, step: 60, training: 0.5, loss_tr: 1.23148, loss_t: 1.06545, testing: 0.444444, t2y: 0.833333
seq1, epoch0, step: 70, training: 0.5625, loss_tr: 1.07217, loss_t: 0.957391, testing: 0.388889, t2y: 0.833333
seq1, epoch1, step: 80, training: 0.9375, loss_tr: 0.891067, loss_t: 0.845609, testing: 0.5, t2y: 0.833333
seq1, epoch1, step: 90, training: 0.8125, loss_tr: 0.570175, loss_t: 0.683106, testing: 0.555556, t2y: 1
seq1, epoch1, step: 100, training: 0.6875, loss_tr: 0.501409, loss_t: 0.541152, testing: 0.666667, t2y: 1
seq1, epoch1, step: 110, training: 1, loss_tr: 0.559233, loss_t: 0.447093, testing: 0.777778, t2y: 1
seq1, epoch1, step: 120, training: 0.875, loss_tr: 0.547421, loss_t: 0.354926, testing: 0.833333, t2y: 1
seq1, epoch1, step: 130, training: 0.8125, loss_tr: 0.481878, loss_t: 0.289347, testing: 0.833333, t2y: 1
seq1, epoch1, step: 140, training: 0.875, loss_tr: 0.401207, loss_t: 0.225245, testing: 0.777778, t2y: 1
seq1, epoch1, step: 150, training: 1, loss_tr: 0.282252, loss_t: 0.191724, testing: 0.833333, t2y: 1
seq1, epoch2, step: 160, training: 1, loss_tr: 0.195806, loss_t: 0.169577, testing: 0.833333, t2y: 1
seq1, epoch2, step: 170, training: 1, loss_tr: 0.15146, loss_t: 0.166695, testing: 0.888889, t2y: 1
seq1, epoch2, step: 180, training: 0.875, loss_tr: 0.215664, loss_t: 0.197415, testing: 0.833333, t2y: 1
seq1, epoch2, step: 190, training: 0.9375, loss_tr: 0.185398, loss_t: 0.166414, testing: 0.888889, t2y: 1
seq1, epoch2, step: 200, training: 1, loss_tr: 0.125661, loss_t: 0.12017, testing: 0.833333, t2y: 1
seq1, epoch2, step: 210, training: 0.9375, loss_tr: 0.0995517, loss_t: 0.0614816, testing: 0.888889, t2y: 1
seq1, epoch2, step: 220, training: 0.9375, loss_tr: 0.14263, loss_t: 0.048826, testing: 0.888889, t2y: 1
seq1, epoch2, step: 230, training: 0.875, loss_tr: 0.135708, loss_t: 0.0436994, testing: 0.888889, t2y: 1
seq1, epoch3, step: 240, training: 0.9375, loss_tr: 0.0750059, loss_t: 0.0267878, testing: 0.833333, t2y: 1
seq1, epoch3, step: 250, training: 1, loss_tr: 0.0746768, loss_t: 0.0268465, testing: 0.888889, t2y: 1
seq1, epoch3, step: 260, training: 1, loss_tr: 0.0885271, loss_t: 0.0229491, testing: 0.888889, t2y: 1
seq1, epoch3, step: 270, training: 0.875, loss_tr: 0.0773047, loss_t: 0.0181557, testing: 0.888889, t2y: 1
seq1, epoch3, step: 280, training: 0.8125, loss_tr: 0.0538549, loss_t: 0.0192227, testing: 0.888889, t2y: 1
seq1, epoch3, step: 290, training: 1, loss_tr: 0.0517205, loss_t: 0.0190333, testing: 0.944444, t2y: 1
seq1, epoch3, step: 300, training: 0.9375, loss_tr: 0.0654017, loss_t: 0.0265921, testing: 0.944444, t2y: 1
seq1, epoch3, step: 310, training: 0.9375, loss_tr: 0.0351917, loss_t: 0.0177564, testing: 0.888889, t2y: 1
seq1, epoch4, step: 320, training: 0.875, loss_tr: 0.0347702, loss_t: 0.0144083, testing: 0.833333, t2y: 1
seq1, epoch4, step: 330, training: 1, loss_tr: 0.0217416, loss_t: 0.0114255, testing: 0.888889, t2y: 1
seq1, epoch4, step: 340, training: 1, loss_tr: 0.0289804, loss_t: 0.0110269, testing: 0.944444, t2y: 1
seq1, epoch4, step: 350, training: 1, loss_tr: 0.0170312, loss_t: 0.012387, testing: 0.944444, t2y: 1
seq1, epoch4, step: 360, training: 0.9375, loss_tr: 0.0191828, loss_t: 0.006316, testing: 0.888889, t2y: 1
seq1, epoch4, step: 370, training: 1, loss_tr: 0.0119787, loss_t: 0.00651093, testing: 0.833333, t2y: 1
seq1, epoch4, step: 380, training: 0.875, loss_tr: 0.0144887, loss_t: 0.00407014, testing: 0.888889, t2y: 1
seq1, epoch4, step: 390, training: 0.9375, loss_tr: 0.0123398, loss_t: 0.00379234, testing: 0.944444, t2y: 1
seq1, epoch5, step: 400, training: 1, loss_tr: 0.0111445, loss_t: 0.00240079, testing: 0.944444, t2y: 1
seq1, epoch5, step: 410, training: 1, loss_tr: 0.00568659, loss_t: 0.00623756, testing: 0.888889, t2y: 1
seq1, epoch5, step: 420, training: 1, loss_tr: 0.00602149, loss_t: 0.00581029, testing: 0.833333, t2y: 1
seq1, epoch5, step: 430, training: 0.875, loss_tr: 0.017063, loss_t: 0.0132947, testing: 0.833333, t2y: 1
seq1, epoch5, step: 440, training: 1, loss_tr: 0.0173464, loss_t: 0.00864151, testing: 0.833333, t2y: 1
seq1, epoch5, step: 450, training: 1, loss_tr: 0.0152037, loss_t: 0.00848699, testing: 0.833333, t2y: 1
seq1, epoch5, step: 460, training: 1, loss_tr: 0.0043946, loss_t: 0.00313083, testing: 0.888889, t2y: 1
seq1, epoch5, step: 470, training: 1, loss_tr: 0.00831045, loss_t: 0.00324453, testing: 0.944444, t2y: 1
seq1, epoch6, step: 480, training: 0.875, loss_tr: 0.00785462, loss_t: 0.00672786, testing: 1, t2y: 1
seq1, epoch6, step: 490, training: 0.875, loss_tr: 0.00918053, loss_t: 0.00453732, testing: 0.944444, t2y: 1
seq1, epoch6, step: 500, training: 1, loss_tr: 0.00602267, loss_t: 0.00423979, testing: 0.888889, t2y: 1
seq1, epoch6, step: 510, training: 1, loss_tr: 0.0062229, loss_t: 0.00758019, testing: 0.888889, t2y: 1
seq1, epoch6, step: 520, training: 1, loss_tr: 0.00571951, loss_t: 0.00774894, testing: 0.944444, t2y: 1
seq1, epoch6, step: 530, training: 1, loss_tr: 0.00523297, loss_t: 0.00821488, testing: 1, t2y: 1
seq1, epoch6, step: 540, training: 0.9375, loss_tr: 0.0043109, loss_t: 0.00567609, testing: 0.944444, t2y: 1
seq1, epoch6, step: 550, training: 1, loss_tr: 0.00375743, loss_t: 0.00519586, testing: 0.888889, t2y: 1
seq1, epoch7, step: 560, training: 0.9375, loss_tr: 0.00410614, loss_t: 0.00836296, testing: 0.833333, t2y: 1
seq1, epoch7, step: 570, training: 1, loss_tr: 0.00315252, loss_t: 0.00395956, testing: 0.833333, t2y: 1
seq1, epoch7, step: 580, training: 1, loss_tr: 0.00883471, loss_t: 0.00406094, testing: 0.888889, t2y: 1
seq1, epoch7, step: 590, training: 1, loss_tr: 0.00742346, loss_t: 0.00045846, testing: 0.944444, t2y: 1
seq1, epoch7, step: 600, training: 1, loss_tr: 0.00728042, loss_t: 0.00179485, testing: 0.944444, t2y: 1
seq1, epoch7, step: 610, training: 1, loss_tr: 0.00252535, loss_t: 0.00190458, testing: 0.888889, t2y: 1
seq1, epoch7, step: 620, training: 0.875, loss_tr: 0.0106314, loss_t: 0.0575682, testing: 0.833333, t2y: 1
seq1, epoch7, step: 630, training: 1, loss_tr: 0.0106004, loss_t: 0.0563683, testing: 0.833333, t2y: 1
seq1, epoch8, step: 640, training: 0.9375, loss_tr: 0.0270579, loss_t: 0.184249, testing: 0.777778, t2y: 1
seq1, epoch8, step: 650, training: 1, loss_tr: 0.0194279, loss_t: 0.128542, testing: 0.777778, t2y: 1
seq1, epoch8, step: 660, training: 1, loss_tr: 0.0199995, loss_t: 0.128395, testing: 0.833333, t2y: 1
seq1, epoch8, step: 670, training: 1, loss_tr: 0.00187787, loss_t: 0.000428374, testing: 0.944444, t2y: 1
seq1, epoch8, step: 680, training: 1, loss_tr: 0.00152412, loss_t: 0.00289258, testing: 1, t2y: 1
seq1, epoch8, step: 690, training: 0.875, loss_tr: 0.00107645, loss_t: 0.00303082, testing: 1, t2y: 1
seq1, epoch8, step: 700, training: 0.9375, loss_tr: 0.00082176, loss_t: 0.00348562, testing: 1, t2y: 1
seq1, epoch8, step: 710, training: 1, loss_tr: 0.000810156, loss_t: 0.00143987, testing: 1, t2y: 1
 
****************************************
current sequence is 2
****************************************
seq2, epoch0, step: 0, training: 0.1875, loss_tr: 1.79685, loss_t: 1.97726, testing: 0.166667, t2y: 0.333333
seq2, epoch0, step: 10, training: 0.125, loss_tr: 1.99609, loss_t: 2.01924, testing: 0.166667, t2y: 0.333333
seq2, epoch0, step: 20, training: 0.625, loss_tr: 1.83421, loss_t: 1.86124, testing: 0.166667, t2y: 0.5
seq2, epoch0, step: 30, training: 0.25, loss_tr: 1.72444, loss_t: 1.65227, testing: 0.222222, t2y: 0.5
seq2, epoch0, step: 40, training: 0.4375, loss_tr: 1.38971, loss_t: 1.3701, testing: 0.333333, t2y: 0.666667
seq2, epoch0, step: 50, training: 0.6875, loss_tr: 1.2243, loss_t: 1.25937, testing: 0.388889, t2y: 0.666667
seq2, epoch0, step: 60, training: 0.5625, loss_tr: 1.1055, loss_t: 1.09746, testing: 0.5, t2y: 0.833333
seq2, epoch0, step: 70, training: 0.75, loss_tr: 0.851016, loss_t: 0.961862, testing: 0.444444, t2y: 1
seq2, epoch1, step: 80, training: 1, loss_tr: 0.717195, loss_t: 0.824151, testing: 0.555556, t2y: 0.833333
seq2, epoch1, step: 90, training: 0.9375, loss_tr: 0.484688, loss_t: 0.742179, testing: 0.555556, t2y: 0.833333
seq2, epoch1, step: 100, training: 0.75, loss_tr: 0.513379, loss_t: 0.665766, testing: 0.611111, t2y: 1
seq2, epoch1, step: 110, training: 0.875, loss_tr: 0.447699, loss_t: 0.581393, testing: 0.611111, t2y: 0.833333
seq2, epoch1, step: 120, training: 0.8125, loss_tr: 0.406326, loss_t: 0.615025, testing: 0.5, t2y: 1
seq2, epoch1, step: 130, training: 0.875, loss_tr: 0.305837, loss_t: 0.545559, testing: 0.555556, t2y: 1
seq2, epoch1, step: 140, training: 1, loss_tr: 0.282649, loss_t: 0.51558, testing: 0.555556, t2y: 1
seq2, epoch1, step: 150, training: 0.6875, loss_tr: 0.344165, loss_t: 0.415938, testing: 0.666667, t2y: 1
seq2, epoch2, step: 160, training: 1, loss_tr: 0.268461, loss_t: 0.422098, testing: 0.666667, t2y: 0.833333
seq2, epoch2, step: 170, training: 0.875, loss_tr: 0.324534, loss_t: 0.388847, testing: 0.666667, t2y: 1
seq2, epoch2, step: 180, training: 1, loss_tr: 0.201968, loss_t: 0.324008, testing: 0.722222, t2y: 1
seq2, epoch2, step: 190, training: 1, loss_tr: 0.184124, loss_t: 0.238355, testing: 0.777778, t2y: 1
seq2, epoch2, step: 200, training: 0.875, loss_tr: 0.153943, loss_t: 0.180301, testing: 0.833333, t2y: 1
seq2, epoch2, step: 210, training: 1, loss_tr: 0.142627, loss_t: 0.167734, testing: 0.833333, t2y: 1
seq2, epoch2, step: 220, training: 1, loss_tr: 0.127851, loss_t: 0.143247, testing: 0.833333, t2y: 1
seq2, epoch2, step: 230, training: 1, loss_tr: 0.0576913, loss_t: 0.138257, testing: 0.833333, t2y: 1
seq2, epoch3, step: 240, training: 0.9375, loss_tr: 0.0467612, loss_t: 0.117748, testing: 0.833333, t2y: 1
seq2, epoch3, step: 250, training: 1, loss_tr: 0.0212926, loss_t: 0.154687, testing: 0.777778, t2y: 1
seq2, epoch3, step: 260, training: 0.9375, loss_tr: 0.0368543, loss_t: 0.156956, testing: 0.777778, t2y: 1
seq2, epoch3, step: 270, training: 1, loss_tr: 0.0313352, loss_t: 0.131209, testing: 0.777778, t2y: 1
seq2, epoch3, step: 280, training: 1, loss_tr: 0.0392554, loss_t: 0.0908368, testing: 0.833333, t2y: 1
seq2, epoch3, step: 290, training: 0.9375, loss_tr: 0.0256136, loss_t: 0.0651163, testing: 0.833333, t2y: 1
seq2, epoch3, step: 300, training: 1, loss_tr: 0.0233149, loss_t: 0.131551, testing: 0.833333, t2y: 1
seq2, epoch3, step: 310, training: 1, loss_tr: 0.0138143, loss_t: 0.162253, testing: 0.777778, t2y: 1
seq2, epoch4, step: 320, training: 0.9375, loss_tr: 0.0376969, loss_t: 0.17832, testing: 0.777778, t2y: 1
seq2, epoch4, step: 330, training: 0.9375, loss_tr: 0.0458915, loss_t: 0.160992, testing: 0.722222, t2y: 1
seq2, epoch4, step: 340, training: 0.9375, loss_tr: 0.0505712, loss_t: 0.111812, testing: 0.777778, t2y: 1
seq2, epoch4, step: 350, training: 1, loss_tr: 0.0214984, loss_t: 0.125831, testing: 0.777778, t2y: 1
seq2, epoch4, step: 360, training: 0.9375, loss_tr: 0.0104679, loss_t: 0.0720607, testing: 0.833333, t2y: 1
seq2, epoch4, step: 370, training: 1, loss_tr: 0.00569471, loss_t: 0.112224, testing: 0.833333, t2y: 1
seq2, epoch4, step: 380, training: 1, loss_tr: 0.00539829, loss_t: 0.104699, testing: 0.833333, t2y: 1
seq2, epoch4, step: 390, training: 1, loss_tr: 0.00342052, loss_t: 0.111178, testing: 0.833333, t2y: 1
seq2, epoch5, step: 400, training: 1, loss_tr: 0.00277521, loss_t: 0.0768741, testing: 0.833333, t2y: 1
seq2, epoch5, step: 410, training: 1, loss_tr: 0.00292149, loss_t: 0.0489664, testing: 0.833333, t2y: 1
seq2, epoch5, step: 420, training: 1, loss_tr: 0.00388833, loss_t: 0.0535831, testing: 0.833333, t2y: 1
seq2, epoch5, step: 430, training: 1, loss_tr: 0.00563163, loss_t: 0.0471989, testing: 0.833333, t2y: 1
seq2, epoch5, step: 440, training: 1, loss_tr: 0.00512802, loss_t: 0.0421592, testing: 0.833333, t2y: 1
seq2, epoch5, step: 450, training: 1, loss_tr: 0.00394846, loss_t: 0.0242012, testing: 0.833333, t2y: 1
seq2, epoch5, step: 460, training: 1, loss_tr: 0.00525908, loss_t: 0.0188969, testing: 0.833333, t2y: 1
seq2, epoch5, step: 470, training: 1, loss_tr: 0.004653, loss_t: 0.0214734, testing: 0.833333, t2y: 1
seq2, epoch6, step: 480, training: 1, loss_tr: 0.00488631, loss_t: 0.0323484, testing: 0.833333, t2y: 1
seq2, epoch6, step: 490, training: 1, loss_tr: 0.00113989, loss_t: 0.0355063, testing: 0.833333, t2y: 1
seq2, epoch6, step: 500, training: 1, loss_tr: 0.00139811, loss_t: 0.0318954, testing: 0.833333, t2y: 1
seq2, epoch6, step: 510, training: 1, loss_tr: 0.00335864, loss_t: 0.0310674, testing: 0.833333, t2y: 1
seq2, epoch6, step: 520, training: 1, loss_tr: 0.00324382, loss_t: 0.026578, testing: 0.833333, t2y: 1
seq2, epoch6, step: 530, training: 1, loss_tr: 0.00570211, loss_t: 0.0253319, testing: 0.833333, t2y: 1
seq2, epoch6, step: 540, training: 1, loss_tr: 0.00343777, loss_t: 0.0211104, testing: 0.833333, t2y: 1
seq2, epoch6, step: 550, training: 0.875, loss_tr: 0.00419023, loss_t: 0.0426155, testing: 0.833333, t2y: 1
seq2, epoch7, step: 560, training: 1, loss_tr: 0.00143614, loss_t: 0.0452029, testing: 0.833333, t2y: 1
seq2, epoch7, step: 570, training: 1, loss_tr: 0.0053753, loss_t: 0.0410168, testing: 0.833333, t2y: 1
seq2, epoch7, step: 580, training: 1, loss_tr: 0.00480649, loss_t: 0.0206678, testing: 0.833333, t2y: 1
seq2, epoch7, step: 590, training: 1, loss_tr: 0.00494114, loss_t: 0.018954, testing: 0.833333, t2y: 1
seq2, epoch7, step: 600, training: 1, loss_tr: 0.00110184, loss_t: 0.016436, testing: 0.833333, t2y: 1
seq2, epoch7, step: 610, training: 1, loss_tr: 0.00109317, loss_t: 0.0152635, testing: 0.833333, t2y: 1
seq2, epoch7, step: 620, training: 1, loss_tr: 0.00110239, loss_t: 0.0191614, testing: 0.833333, t2y: 1
seq2, epoch7, step: 630, training: 1, loss_tr: 0.00100432, loss_t: 0.0274532, testing: 0.833333, t2y: 1
seq2, epoch8, step: 640, training: 1, loss_tr: 0.000670781, loss_t: 0.0303385, testing: 0.833333, t2y: 1
seq2, epoch8, step: 650, training: 1, loss_tr: 0.000609884, loss_t: 0.0311445, testing: 0.833333, t2y: 1
seq2, epoch8, step: 660, training: 1, loss_tr: 0.000479722, loss_t: 0.0255759, testing: 0.833333, t2y: 1
seq2, epoch8, step: 670, training: 0.9375, loss_tr: 0.000409335, loss_t: 0.0226228, testing: 0.833333, t2y: 1
seq2, epoch8, step: 680, training: 1, loss_tr: 0.000444449, loss_t: 0.015871, testing: 0.833333, t2y: 1
seq2, epoch8, step: 690, training: 1, loss_tr: 0.000347421, loss_t: 0.0139003, testing: 0.833333, t2y: 1
seq2, epoch8, step: 700, training: 1, loss_tr: 0.000771751, loss_t: 0.0152525, testing: 0.833333, t2y: 1
seq2, epoch8, step: 710, training: 1, loss_tr: 0.000652868, loss_t: 0.0144676, testing: 0.833333, t2y: 1
 
****************************************
current sequence is 3
****************************************
seq3, epoch0, step: 0, training: 0.5625, loss_tr: 1.41754, loss_t: 1.92918, testing: 0.166667, t2y: 0.333333
